Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
22,LaMelo Ball,PG,22,CHO,22,711,20.6,.561,.466,.246,4.3,14.0,8.9,42.2,2.7,0.5,15.0,33.7,,0.5,0.4,1.0,.065,,3.6,-0.7,2.9,0.9,ballla01
23,Mo Bamba,C,25,PHI,27,267,19.5,.598,.256,.267,15.3,23.2,19.3,7.4,2.0,8.3,14.3,17.9,,0.4,0.5,0.9,.163,,-0.6,0.9,0.3,0.2,bambamo01
24,Paolo Banchero,PF,21,ORL,50,1744,17.1,.540,.230,.406,3.8,19.1,11.3,24.0,1.5,1.4,12.5,29.9,,0.4,2.5,2.9,.081,,1.1,0.1,1.2,1.4,banchpa01
25,Desmond Bane,SG,25,MEM,37,1277,18.9,.597,.460,.201,2.8,12.0,7.2,28.3,1.4,1.5,11.6,28.8,,1.5,1.3,2.9,.107,,3.3,0.1,3.5,1.8,banede01
26,Dalano Banton,PG,24,BOS,24,171,9.8,.468,.314,.392,7.8,13.6,10.8,14.3,1.4,1.5,14.3,17.6,,0.0,0.2,0.2,.063,,-5.0,0.6,-4.4,-0.1,bantoda01
27,Dominick Barlow,PF,20,SAS,22,295,14.1,.537,.089,.354,9.4,18.1,13.7,11.9,1.4,3.5,5.2,13.7,,0.4,0.3,0.7,.108,,-1.9,0.2,-1.7,0.0,barlodo01
28,Harrison Barnes,PF,31,SAC,48,1444,11.5,.621,.552,.264,3.1,7.9,5.5,5.5,1.2,0.5,7.4,14.8,,1.8,0.9,2.7,.090,,-0.9,-1.2,-2.1,0.0,barneha02
29,Scottie Barnes,SG,22,TOR,49,1737,19.4,.575,.329,.266,6.9,18.7,12.7,24.3,1.7,3.6,13.3,24.6,,2.1,1.9,4.0,.111,,2.9,0.9,3.8,2.5,barnesc01
30,RJ Barrett,SG,23,TOT,40,1247,15.5,.564,.311,.333,3.0,15.7,9.3,13.8,0.8,1.1,9.8,25.8,,1.0,1.2,2.2,.085,,0.1,-1.3,-1.2,0.2,barrerj01
30,RJ Barrett,SG,23,NYK,26,766,14.2,.536,.335,.320,2.8,13.2,8.0,12.6,0.8,1.1,9.6,27.2,,0.4,0.8,1.2,.074,,-0.6,-1.6,-2.2,0.0,barrerj01
30,RJ Barrett,SG,23,TOR,14,481,17.5,.618,.266,.357,3.4,19.7,11.4,15.6,0.9,1.1,10.1,23.7,,0.7,0.4,1.0,.102,,1.2,-1.0,0.3,0.3,barrerj01
31,Charles Bassey,C,23,SAS,19,205,17.6,.739,.025,.150,11.9,28.2,19.9,14.0,1.8,7.1,26.0,11.8,,0.3,0.3,0.6,.147,,-1.9,3.0,1.1,0.2,bassech01
32,Emoni Bates,SF,20,CLE,10,76,3.7,.348,.800,.080,1.5,12.9,7.3,9.8,0.6,2.4,3.7,15.3,,-0.1,0.1,0.0,-0.016,,-5.4,-0.7,-6.2,-0.1,batesem01
33,Keita Bates-Diop,SF,28,PHO,39,597,11.3,.525,.427,.240,6.2,13.0,9.8,7.4,1.8,3.0,7.3,13.0,,0.4,0.6,1.0,.084,,-1.5,0.2,-1.3,0.1,bateske01
34,Nicolas Batum,PF,35,TOT,34,846,11.5,.684,.719,.104,5.5,11.6,8.6,11.6,1.3,2.6,13.0,8.2,,1.4,0.9,2.3,.129,,0.1,0.7,0.8,0.6,batumni01
34,Nicolas Batum,PF,35,LAC,3,54,9.7,.500,.875,.000,0.0,14.1,7.3,11.0,2.7,6.7,11.1,7.3,,0.0,0.1,0.1,.101,,-1.5,4.4,2.9,0.1,batumni01
34,Nicolas Batum,PF,35,PHI,31,792,11.6,.695,.709,.110,5.9,11.5,8.7,11.6,1.2,2.3,13.1,8.3,,1.4,0.8,2.2,.131,,0.2,0.5,0.6,0.5,batumni01
35,Bradley Beal,SG,30,PHO,26,866,14.5,.579,.305,.221,2.8,11.2,7.3,20.7,1.2,0.8,13.2,23.5,,0.7,0.6,1.3,.073,,-1.0,-1.7,-2.7,-0.1,bealbr01
36,Malik Beasley,SG,27,MIL,48,1414,11.0,.641,.721,.049,2.4,12.2,7.5,5.9,1.2,0.3,7.3,13.5,,1.7,0.9,2.6,.087,,-0.3,-0.7,-1.1,0.3,beaslma01
37,MarJon Beauchamp,SF,23,MIL,36,540,8.6,.578,.453,.144,4.2,12.6,8.5,6.7,1.0,0.9,14.0,13.5,,0.1,0.3,0.5,.041,,-2.6,-1.0,-3.6,-0.2,beaucma01
38,Jules Bernard,SG,24,WAS,6,28,3.6,.292,.667,.000,7.5,11.6,9.5,22.5,1.7,2.9,14.3,21.1,,-0.1,0.0,-0.1,-0.153,,-7.2,-1.2,-8.4,0.0,bernaju01
39,Dāvis Bertāns,PF,31,OKC,15,91,17.2,.675,.923,.577,2.6,9.4,6.1,12.2,1.6,3.1,3.0,16.0,,0.3,0.1,0.4,.228,,3.1,0.8,3.9,0.1,bertada01
40,Patrick Beverley,PG,35,PHI,45,875,11.5,.544,.462,.271,3.5,14.0,8.8,20.3,1.3,1.8,15.2,14.5,,0.7,0.9,1.6,.087,,-1.4,0.1,-1.3,0.2,beverpa01
41,Saddiq Bey,SF,24,ATL,48,1551,12.4,.540,.523,.284,8.4,13.7,10.9,5.9,1.3,0.3,6.8,16.3,,1.8,0.5,2.3,.071,,-0.4,-1.9,-2.3,-0.1,beysa01
42,Goga Bitadze,C,24,ORL,41,809,18.5,.641,.056,.380,13.4,22.2,17.7,11.6,1.6,7.1,12.9,12.8,,1.7,1.6,3.3,.198,,-0.1,3.0,2.9,1.0,bitadgo01
43,Onuralp Bitim,SG,24,CHI,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.003,,-7.4,-3.4,-10.8,0.0,bitimon01
44,Bismack Biyombo,C,31,MEM,30,718,9.9,.560,.000,.387,8.4,21.2,14.5,10.0,0.7,4.4,21.4,10.6,,0.1,1.0,1.1,.071,,-4.9,1.6,-3.2,-0.2,biyombi01
45,Anthony Black,PG,20,ORL,46,874,8.9,.590,.360,.349,3.1,10.7,6.8,11.6,1.5,1.8,16.9,11.9,,0.4,1.1,1.5,.082,,-3.6,1.1,-2.5,-0.1,blackan01
46,Leaky Black,SF,24,CHO,19,149,11.9,.579,.387,.323,4.3,14.3,9.0,9.8,1.6,3.0,5.3,10.9,,0.2,0.1,0.3,.084,,-1.9,-0.1,-2.1,0.0,blackle01
47,Bogdan Bogdanović,SG,31,ATL,47,1352,15.4,.573,.600,.147,1.8,10.2,5.9,13.4,2.2,0.7,7.2,23.0,,1.8,0.6,2.5,.087,,1.1,-0.6,0.5,0.9,bogdabo01
48,Bojan Bogdanović,PF,34,DET,28,921,14.0,.600,.487,.245,1.6,10.1,5.7,11.7,1.2,0.4,11.8,24.5,,0.5,0.1,0.7,.034,,0.3,-2.5,-2.2,0.0,bogdabo02
49,Bol Bol,PF,24,PHO,13,101,21.5,.761,.233,.167,13.4,24.9,19.5,8.8,1.9,5.2,19.9,17.3,,0.2,0.2,0.4,.183,,1.8,1.2,3.0,0.1,bolbo01
50,Marques Bolden,C,25,MIL,2,3,3.1,,,,0.0,70.8,36.6,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.098,,-7.9,2.2,-5.7,0.0,boldema01
51,Devin Booker,PG,27,PHO,41,1477,22.8,.618,.304,.351,2.3,12.6,7.8,32.7,1.2,1.0,10.5,30.3,,4.6,1.2,5.8,.187,,4.3,-1.2,3.1,1.9,bookede01
52,Brandon Boston Jr.,SF,22,LAC,13,101,11.3,.505,.347,.163,8.1,7.6,7.8,7.1,1.0,1.8,7.1,24.4,,0.0,0.1,0.1,.043,,-3.8,-3.1,-6.9,-0.1,bostobr01
53,Chris Boucher,PF,31,TOR,44,618,14.8,.595,.446,.399,9.3,22.7,15.8,3.9,1.0,2.7,8.5,17.2,,0.8,0.6,1.4,.112,,-1.0,-1.4,-2.4,-0.1,bouchch01
54,James Bouknight,SG,23,CHO,14,81,15.8,.597,.732,.049,1.3,11.7,6.2,11.9,0.6,1.1,4.6,23.5,,0.1,0.0,0.1,.058,,4.3,-2.3,1.9,0.1,bouknja01
