,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,-9999
47,Jeff Ulbrich,SFO,27,LLB/RLB,16,14,1,19,0,19,3,1,0,0,0,0,1.0,93,74,19,9,,,UlbrJe20
48,Roy Williams*,DAL,24,FS,16,16,2,53,0,33,10,1,0,0,0,0,0.0,95,74,21,3,,,WillRo03
49,Jerametrius Butler,STL,26,LCB,16,16,5,15,0,10,19,0,0,1,2,0,0.0,79,73,6,0,,,ButlJe20
50,Erik Coleman,NYJ,22,FS,16,16,4,43,0,37,12,0,0,1,0,0,2.0,100,73,27,4,,,ColeEr21
51,Gary Baxter,BAL,26,RCB,16,16,1,33,0,33,13,2,1,0,0,0,2.0,88,72,16,3,,,BaxtGa20
52,Terrence Kiel,SDG,24,SS,16,16,2,31,0,31,10,0,0,1,0,0,1.0,97,72,25,3,,,KielTe20
53,Al Wilson,DEN,27,MLB,16,16,2,17,1,10,5,2,0,0,0,0,2.5,105,72,33,9,,,WilsAl00
54,Antoine Winfield,MIN,27,LCB,14,12,3,89,0,56,8,3,0,1,0,0,0.0,88,72,16,3,,,WinfAn20
55,Shelton Quarles,TAM,33,MLB,15,15,0,0,0,0,3,,,,,0,3.5,104,71,33,3,,,QuarSh20
56,David Thornton,IND,26,LLB,16,15,1,5,0,5,1,2,0,0,0,0,0.0,94,71,23,4,,,ThorDa20
57,Kenoy Kennedy,DEN,27,SS,16,16,1,21,0,21,9,2,0,1,5,0,2.0,88,70,18,3,,,KennKe21
58,Chris Gamble,CAR,21,RCB,16,16,6,15,0,13,14,1,1,1,0,0,0.0,75,69,6,3,,,GambCh20
59,Champ Bailey*+,DEN,26,LCB,16,16,3,0,0,0,12,,,,,0,0.0,81,68,13,6,,,BailCh00
60,Randall Godfrey,SDG,31,RILB,15,15,0,0,0,0,3,3,0,1,0,0,2.0,87,68,19,7,,,GodfRa20
61,Isaiah Kacyvenski,SEA,27,LLB/RLB,16,13,,,0,,,1,0,0,0,0,1.0,89,68,21,4,,,KacyIs20
62,Troy Polamalu*,PIT,23,SS,16,16,5,58,1,26,14,1,0,0,0,0,1.0,97,68,29,4,,,PolaTr99
63,Dewayne Washington,JAX,32,RCB,16,16,2,0,0,0,9,1,0,0,0,0,0.0,77,68,9,2,,,WashDe20
64,Will Demps,BAL,25,FS,16,16,1,0,0,0,7,2,0,2,2,0,2.5,87,67,20,3,,,DempWi20
65,James Farrior*+,PIT,29,LILB,16,16,4,113,1,41,12,3,0,3,0,0,3.0,95,67,28,9,,,FarrJa99
66,Scott Fujita,KAN,25,LLB,16,16,0,0,0,0,4,,,,,0,4.5,90,67,23,9,,,FujiSc20
67,Anthony Henry,CLE,28,LCB,15,14,4,83,0,51,12,,,,,0,0.0,76,67,9,1,,,HenrAn20
68,Sheldon Brown,PHI,25,RCB,16,16,2,33,0,33,16,1,0,0,0,0,3.0,89,66,23,4,,,BrowSh20
69,Ray Buchanan,OAK,33,FS,16,16,1,27,0,27,6,1,0,0,0,0,0.0,92,66,26,0,,,BuchRa00
70,Charles Grant,NOR,26,LDE,16,16,1,8,0,8,7,3,0,1,0,0,10.5,80,66,14,19,,,GranCh21
71,E.J. Henderson,MIN,24,MLB,14,14,0,0,0,0,3,1,0,0,0,0,1.0,94,66,28,9,,,HendE.20
72,Brock Marion,DET,34,FS,16,16,3,43,0,24,8,,,,,0,0.0,88,66,22,0,,,MariBr00
73,Terence Newman,DAL,26,LCB,16,16,4,31,0,21,15,2,0,0,0,0,0.0,70,66,4,2,,,NewmTe20
74,Tommy Polley,STL,26,LLB,15,13,0,0,0,0,6,1,0,0,0,0,2.0,79,66,13,5,,,PollTo21
75,Ryan Clark,WAS,25,SS,15,11,0,0,0,0,1,,,,,,0.0,81,65,16,2,,,ClarRy20
76,Morlon Greenwood,MIA,26,RLB,16,15,0,0,0,0,3,,,,,,0.0,108,65,43,8,,,GreeMo20
