,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,-9999
1,D'Qwell Jackson,CLE,28,MLB,16,16,1,24,0,24,3,1,0,3,1,0,3.5,158,116,42,12,8,,JackDQ20
2,NaVorro Bowman+,SFO,23,LILB,16,16,0,0,0,0,8,0,0,3,0,0,2.0,143,111,32,13,6,,BowmNa99
3,James Laurinaitis,STL,25,MLB,16,16,2,15,0,15,7,0,0,1,0,0,3.0,142,105,37,11,5,,LaurJa99
4,Derrick Johnson*+,KAN,29,RILB,16,16,2,18,0,17,9,1,0,1,0,0,2.0,131,104,27,10,3,,JohnDe25
5,James Anderson,CAR,28,LLB,16,16,2,5,0,5,9,0,0,3,0,0,1.5,145,98,47,9,2,,AndeJa21
6,London Fletcher*,WAS,36,LLB,16,16,2,0,0,0,8,2,0,0,0,0,1.5,166,96,70,5,8,,FletLo20
7,Daryl Washington,ARI,25,RILB,15,14,2,16,0,16,7,,,,,0,5.0,107,95,12,16,7,,WashDa99
8,Desmond Bishop,GNB,27,RILB,13,13,0,0,0,0,1,2,0,0,0,0,5.0,115,90,25,10,8,,BishDe99
9,Chad Greenway*,MIN,28,LLB,16,16,0,0,0,0,3,0,0,1,0,0,2.0,154,89,65,6,4,,GreeCh99
10,Karlos Dansby,MIA,30,LILB,16,16,1,14,0,14,4,2,0,0,0,0,2.0,102,87,15,10,8,,DansKa20
11,Curtis Lofton,ATL,25,MLB,16,16,2,30,1,26,7,1,0,1,0,0,1.0,147,87,60,9,3,,LoftCu99
12,Lance Briggs*,CHI,31,LLB,16,16,1,0,0,0,4,2,0,0,0,0,0.0,105,86,19,9,1,,BrigLa99
13,Kevin Burnett,MIA,29,RILB,16,16,1,34,1,34,3,,,,,0,2.5,106,84,22,10,4,,BurnKe20
14,Stephen Tulloch,DET,26,MLB,16,16,2,9,0,9,5,1,0,3,4,1,3.0,111,84,27,8,7,,TullSt20
15,Brian Urlacher*,CHI,33,MLB,16,16,3,7,0,8,7,0,0,2,29,1,0.0,102,84,18,9,0,,UrlaBr00
16,Jason McCourty,TEN,24,LCB,15,15,2,52,0,30,13,1,0,1,0,0,1.0,103,83,20,1,1,,McCoJa99
17,Charles Tillman*,CHI,30,RCB,16,16,3,66,2,44,12,3,0,2,4,0,1.0,100,83,17,5,1,,TillCh20
18,Antrel Rolle,NYG,29,FS,16,16,2,-1,0,0,4,1,0,0,0,0,0.0,96,82,14,2,0,,RollAn20
19,Sean Weatherspoon,ATL,24,LLB,16,16,0,0,0,0,8,0,0,1,0,0,4.0,115,82,33,14,5,,WeatSe99
20,Yeremiah Bell,MIA,33,SS,16,16,1,20,0,20,4,0,0,1,0,0,2.0,107,81,26,2,4,,BellYe20
21,Antoine Bethea,IND,27,FS,16,16,0,0,0,0,7,2,0,1,0,0,0.0,139,80,59,2,1,,BethAn20
22,Tyvon Branch,OAK,25,SS,16,16,1,0,0,0,4,0,0,1,0,0,1.0,109,80,29,3,1,,BranTy99
23,E.J. Henderson,MIN,31,MLB,16,14,0,0,0,0,3,3,0,0,0,0,2.0,109,80,29,8,4,,HendE.20
24,Pat Angerer,IND,24,MLB,16,16,1,0,0,0,3,2,0,1,10,0,1.0,148,78,70,9,4,,AngePa99
25,Nick Barnett,BUF,30,RILB,16,16,3,80,1,33,5,1,0,0,0,0,3.0,130,78,52,9,4,,BarnNi20
26,Morgan Burnett,GNB,22,FS,16,16,3,0,0,0,11,2,0,2,25,0,1.0,106,78,28,1,2,,BurnMo99
27,Donald Butler,SDG,23,RILB,16,16,1,2,0,2,2,2,0,1,37,1,2.0,96,78,18,10,4,,ButlDo99
28,George Wilson,BUF,30,SS,13,13,4,26,0,12,6,2,0,1,0,0,0.0,106,78,28,2,1,,WilsGe01
29,Rolando McClain,OAK,22,MLB,15,14,0,0,0,0,14,,,,,0,5.0,99,77,22,8,8,1,McClRo00
30,Brian Cushing,HOU,24,LILB,16,16,2,5,0,5,5,2,0,0,0,0,4.0,114,76,38,8,13,,CushBr99
31,Sean Jones,TAM,29,SS,16,16,0,0,0,0,3,1,0,2,0,0,1.0,92,76,16,3,2,,JoneSe20
32,Jairus Byrd,BUF,25,FS,16,16,3,88,1,37,8,3,0,1,0,0,1.0,98,75,23,5,1,,ByrdJa99
33,Kam Chancellor*,SEA,23,SS,15,15,4,27,0,9,13,2,0,1,0,0,1.0,97,75,22,3,1,,ChanKa99
34,Quintin Mikell,STL,31,FS,16,16,2,11,0,11,5,5,0,1,14,0,1.0,91,75,16,3,2,,MikeQu20
35,Michael Boley,NYG,29,MLB,14,13,0,0,0,0,3,1,0,3,78,1,1.0,93,74,19,4,2,,BoleMi20
36,Daryl Smith,JAX,29,LLB,16,16,1,25,0,25,8,2,0,0,0,0,3.5,107,74,33,7,11,,SmitDa24
37,Patrick Willis*+,SFO,26,RILB,13,13,1,10,0,10,12,4,0,2,0,0,2.0,97,74,23,7,4,,WillPa98
38,Roman Harper,NOR,29,SS,16,16,0,0,0,0,7,3,0,1,0,0,7.5,95,73,22,9,13,,HarpRo21
39,David Hawthorne,SEA,26,MLB,15,14,3,111,1,77,6,0,0,1,9,0,2.0,115,73,42,9,2,,HawtDa20
40,DeAndre Levy,DET,24,RLB,16,16,1,7,0,7,1,1,0,0,0,0,1.0,109,73,36,9,2,,LevyDe99
41,Jordan Babineaux,TEN,29,SS,16,14,1,97,1,97,7,1,0,1,0,0,0.0,93,72,21,2,1,,BabiJo21
42,Ray Lewis*,BAL,36,RILB,12,12,1,4,0,4,7,2,0,0,0,0,2.0,95,72,23,3,4,,LewiRa00
43,Ryan Clark*,PIT,32,FS,16,16,1,10,0,10,5,,,,,0,1.0,100,71,29,5,1,,ClarRy20
44,Dawan Landry,JAX,29,FS,16,16,2,28,0,28,4,1,0,1,0,0,0.5,97,71,26,1,2,,LandDa21
45,Sean Lee,DAL,25,RILB,15,15,4,87,0,37,7,0,0,2,0,0,0.0,104,71,33,10,3,,LeexSe99
46,Eric Weddle*+,SDG,26,FS,16,16,7,89,0,26,11,,,,,0,0.0,88,70,18,3,2,,WeddEr99
47,D.J. Williams,DEN,29,ROLB,13,13,0,0,0,0,2,2,0,1,0,0,5.0,90,70,20,8,6,,WillD.20
48,Tim Jennings,CHI,28,LCB,16,15,2,2,0,1,10,1,0,1,0,0,0.0,77,69,8,4,0,,JennTi20
49,Richard Marshall,ARI,27,LCB,16,9,3,83,0,49,11,,,,,0,2.0,78,69,9,5,2,,MarsRi20
50,Paul Posluszny,JAX,27,MLB,16,16,2,2,0,2,9,1,0,0,0,0,2.0,119,69,50,5,8,,PoluPa99
51,Earl Thomas*,SEA,22,FS,16,16,2,19,0,11,7,1,0,2,0,0,0.0,98,69,29,6,1,,ThomEa99
52,LeRoy Hill,SEA,29,LLB,16,16,,,0,,,1,0,0,0,0,4.0,89,68,21,8,5,,HillLe20
53,Lawrence Timmons,PIT,25,RILB,16,16,1,0,0,0,5,1,0,0,0,0,2.0,93,68,25,5,6,,TimmLa99
54,Eric Wright,DET,26,RCB,16,16,4,49,0,22,16,1,0,0,0,0,0.0,75,68,7,3,0,,WrigEr99
55,Ronde Barber,TAM,36,RCB,16,16,3,12,0,12,9,1,0,1,0,0,1.0,79,67,12,6,1,1,BarbRo00
56,Jamar Chaney,PHI,25,MLB,16,16,3,25,0,14,8,,,,,0,1.0,92,67,25,4,1,,ChanJa98
57,Thomas DeCoud,ATL,26,FS,16,15,4,77,0,49,6,,,,,0,0.0,86,67,19,2,2,,DeCoTh99
58,Darian Stewart,STL,23,SS,15,13,1,27,1,27,11,2,0,0,0,0,3.0,84,67,17,9,3,,StewDa00
59,Wesley Woodyard,DEN,25,ROLB,15,7,0,0,0,0,2,2,,,,,0.0,97,67,30,1,0,,WoodWe20
60,Kyle Arrington,NWE,25,RCB,16,14,7,92,0,28,15,0,0,1,0,0,0.0,88,66,22,1,0,,ArriKy00
61,Charles Godfrey,CAR,26,SS,14,14,2,30,0,21,7,1,0,0,0,0,1.0,84,66,18,0,1,,GodfCh99
62,Jason Pierre-Paul*+,NYG,22,RDE,16,12,0,0,0,0,7,2,0,0,0,0,16.5,86,66,20,23,28,1,PierJa99
63,Eric Smith,NYJ,28,FS,16,14,1,2,0,2,4,0,0,1,0,0,2.5,89,66,23,5,3,,SmitEr22
64,DeAngelo Hall,WAS,28,LCB,16,16,3,46,0,26,16,1,0,0,0,0,0.0,90,65,25,3,1,,HallDe99
65,David Harris,NYJ,27,RILB,16,16,4,55,1,35,8,,,,,0,5.0,86,65,21,8,12,,HarrDa99
66,Devin McCourty,NWE,24,LCB,14,14,2,38,0,38,13,,,,,0,0.0,87,65,22,5,0,,McCoDe99
67,Charlie Peprah,GNB,28,SS,16,14,5,147,1,76,10,1,0,0,0,0,0.0,94,65,29,3,0,,PeprCh20
68,Chris Chamberlain,STL,26,RLB,16,13,1,4,0,4,1,1,0,0,0,0,2.0,81,64,17,6,2,,ChamCh99
69,Thomas Howard,CIN,28,RLB,16,15,0,0,0,0,4,2,0,0,0,0,1.0,99,64,35,7,4,,HowaTh20
