,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,-9999
1,Kwon Alexander,TAM,22,MLB,16,16,1,38,1,38,7,1,0,1,4,0,3.0,145,108,37,12,7,,AlexKw00
2,Landon Collins*+,NYG,22,SS,16,16,5,72,1,44,13,0,0,1,6,0,4.0,125,100,25,9,5,,CollLa00
3,Telvin Smith,JAX,25,LLB,16,16,2,0,0,0,8,0,0,1,0,0,1.0,119,99,20,14,2,,SmitTe01
4,Tahir Whitehead,DET,26,MLB,15,15,0,0,0,0,5,,,,,,0.0,132,99,33,3,0,,WhitTa00
5,Alec Ogletree,LAR,25,MLB,16,16,2,15,0,8,11,1,0,1,0,0,0.0,136,98,38,9,3,,OgleAl00
6,Zach Brown*,BUF,27,LILB,16,16,1,0,0,0,4,2,0,0,0,0,4.0,149,97,52,11,8,,BrowZa00
7,Paul Posluszny,JAX,32,MLB,16,16,1,0,0,0,3,,,,,0,1.5,133,97,36,8,3,,PoluPa99
8,Johnathan Cyprien,JAX,26,SS,16,16,0,0,0,0,4,1,0,1,0,0,1.0,127,96,31,3,1,,CyprJo00
9,Christian Kirksey,CLE,24,RILB,16,16,0,0,0,0,3,,,,,0,2.5,148,96,52,11,7,,KirkCh00
10,Antoine Bethea,SFO,32,SS,16,16,1,0,0,0,3,1,0,1,5,0,0.0,110,95,15,3,1,,BethAn20
11,Sean Lee*+,DAL,30,RLB,15,15,0,0,0,0,1,0,0,1,0,0,0.0,145,93,52,12,2,,LeexSe99
12,Zach Orr,BAL,24,RILB,15,15,3,23,0,14,5,1,0,2,0,0,0.0,133,92,41,6,1,,OrrxZa00
13,Mark Barron,LAR,27,LLB,16,16,2,8,0,7,8,0,0,1,0,0,1.0,118,91,27,7,3,,BarrMa00
14,Mason Foster,WAS,27,RILB,16,13,0,0,0,0,3,1,0,0,0,0,1.0,124,89,35,9,5,,FostMa00
15,Jerrell Freeman,CHI,30,LILB,12,12,0,0,0,0,5,,,,,,0.0,110,86,24,7,2,,FreeJe00
16,Malcolm Smith,OAK,27,RLB,15,14,1,0,0,0,3,2,0,1,1,0,0.0,103,86,17,3,2,,SmitMa02
17,Bobby Wagner*+,SEA,26,MLB,16,16,1,9,0,9,3,0,0,1,0,0,4.5,167,85,82,7,18,,WagnBo00
18,Preston Brown,BUF,24,RILB,16,16,0,0,0,0,1,1,0,2,0,0,1.0,139,79,60,5,3,,BrowPr00
19,Jamie Collins,2TM,27,LLB/ROLB,15,14,2,31,0,18,3,2,0,0,0,0,3.0,112,79,33,8,8,,CollJa00
20,Bradley McDougald,TAM,26,FS,16,16,2,32,0,32,10,0,0,1,6,0,0.0,91,79,12,3,0,,McDoBr01
21,Benardrick McKinney,HOU,24,RILB,16,16,0,0,0,0,2,1,0,0,0,0,5.0,129,79,50,8,11,,McKiBe00
22,Tony Jefferson,ARI,24,SS,15,14,0,0,0,0,5,2,0,2,0,0,2.0,96,78,18,13,4,,JeffTo00
23,Lawrence Timmons,PIT,30,RILB,16,16,2,74,0,58,5,1,0,0,0,0,2.5,114,78,36,5,11,,TimmLa99
24,Deion Jones,ATL,22,RILB,15,13,3,165,2,90,11,1,0,0,0,0,0.0,108,75,33,4,2,,JoneDe01
25,Logan Ryan,NWE,25,RCB,16,13,2,46,0,46,11,1,0,0,0,0,1.0,92,74,18,2,3,,RyanLo00
26,Tavon Wilson,DET,26,SS,15,14,2,23,0,18,2,0,0,2,-2,0,1.0,89,74,15,4,1,,WilsTa00
27,Vontaze Burfict,CIN,26,RLB,11,11,2,54,0,47,8,1,0,0,0,0,2.0,101,73,28,5,4,,BurfVo00
28,Thomas Davis*,CAR,33,RLB,16,16,3,35,0,31,4,1,0,2,46,1,2.5,106,73,33,5,5,,DaviTh20
29,Byron Jones,DAL,24,FS,16,16,1,7,0,7,10,1,0,0,0,0,0.0,88,73,15,3,0,,JoneBy00
30,Avery Williamson,TEN,24,RILB,16,16,1,0,0,0,1,1,0,0,0,0,2.0,104,73,31,3,5,,WillAv00
31,Rodney McLeod,PHI,26,FS,16,16,3,5,0,5,7,1,0,0,0,0,1.0,83,72,11,3,0,,McLeRo00
32,Keanu Neal,ATL,21,FS,14,14,0,0,0,0,8,5,0,1,0,0,0.0,106,72,34,2,0,,NealKe01
33,K.J. Wright*,SEA,27,RLB,16,16,0,0,0,0,5,1,0,1,0,0,4.0,126,72,54,12,8,,WrigK.00
34,Luke Kuechly*,CAR,25,MLB,10,10,1,1,0,16,6,1,0,0,0,0,2.0,102,71,31,6,4,,KuecLu00
35,Craig Robertson,NOR,28,LLB,15,15,1,29,0,29,4,0,0,2,5,0,1.0,115,71,44,6,6,,RobeCr00
36,Morgan Burnett,GNB,27,SS,15,15,2,19,0,19,9,0,0,1,35,0,3.0,93,70,23,3,4,,BurnMo99
37,Derrick Johnson,KAN,34,LILB,13,13,1,55,1,55,3,,,,,0,1.0,90,70,20,8,2,,JohnDe25
38,Eric Kendricks,MIN,24,MLB,15,14,1,77,1,77,9,1,0,1,0,0,2.5,109,70,39,9,4,,KendEr00
39,Kiko Alonso,MIA,26,MLB,15,15,2,70,1,60,4,1,0,4,2,0,0.0,115,69,46,5,6,,AlonKi00
40,Nigel Bradham,PHI,27,LLB,16,16,1,28,0,28,5,2,0,1,0,0,2.0,102,69,33,10,3,,BradNi00
41,Karlos Dansby,CIN,35,LLB,16,7,0,0,0,0,6,0,0,1,0,0,1.0,114,69,45,8,2,,DansKa20
42,Harrison Smith*,MIN,27,FS,14,14,0,0,0,0,2,0,0,2,0,0,2.0,91,69,22,4,3,,SmitHa00
43,T.J. Ward,DEN,30,SS,14,14,1,23,0,23,8,3,0,2,0,0,1.0,87,69,18,1,5,,WardT.99
44,Vernon Hargreaves III,TAM,21,LCB,16,16,1,0,0,0,9,1,0,0,0,0,0.0,76,68,8,3,0,,HargVe00
45,Lavonte David,TAM,26,RLB,16,16,1,15,1,15,4,4,0,2,53,0,5.0,87,67,20,17,8,,DaviLa00
46,Devin McCourty*,NWE,29,FS,16,16,1,0,0,0,7,1,0,1,3,0,0.0,83,67,16,1,0,,McCoDe99
47,Deone Bucannon,ARI,24,LILB,13,13,0,0,0,0,4,0,0,1,0,0,0.0,91,66,25,5,1,,BucaDe00
48,Kurt Coleman,CAR,28,SS,15,15,4,57,1,37,7,1,0,0,0,0,1.0,95,66,29,1,2,,ColeKu99
49,Harold Jones-Quartey,CHI,23,SS,16,12,1,0,0,0,5,,,,,0,0.0,78,66,12,2,0,,JoneHa02
50,Jatavis Brown,SDG,22,LILB,12,7,0,0,0,0,6,2,0,1,0,0,3.5,79,64,15,8,3,,BrowJa05
51,Todd Davis,DEN,24,ROLB/LILB,16,15,0,0,0,0,3,1,0,1,1,0,0.5,97,64,33,2,4,,DaviTo01
52,Marcus Cooper,ARI,26,RCB,15,13,4,95,1,60,11,,,,,0,0.0,69,63,6,0,0,,CoopMa00
53,David Harris,NYJ,32,RILB,15,15,0,0,0,0,2,,,,,0,0.5,95,63,32,5,2,,HarrDa99
54,Daryl Worley,CAR,21,RCB,16,11,1,22,0,22,9,,,,,0,1.0,88,63,25,2,1,,WorlDa00
55,Mike Adams,IND,35,SS,15,15,2,56,0,56,2,2,0,2,0,0,0.0,79,62,17,1,2,,AdamMi21
56,Eric Berry*+,KAN,28,SS,16,16,4,98,2,42,9,1,0,0,0,0,0.0,77,62,15,2,0,,BerrEr99
57,Bashaud Breeland,WAS,24,LCB,14,14,3,32,0,26,11,2,0,0,0,0,1.0,73,62,11,1,1,,BreeBa00
58,Jonathan Casillas,NYG,29,RLB,16,15,0,0,0,0,8,1,0,0,0,0,1.5,96,62,34,5,3,,CasiJo99
59,Ha Ha Clinton-Dix*,GNB,24,FS,16,16,5,75,0,27,7,1,0,0,0,0,0.5,80,62,18,1,1,,ClinHa00
60,Corey Graham,BUF,31,FS,16,16,1,0,0,0,9,0,0,1,0,0,1.0,87,62,25,2,1,,GrahCo99
61,Von Miller*+,DEN,27,LOLB,16,16,0,0,0,0,3,3,0,0,0,0,13.5,78,62,16,13,24,,MillVo00
62,Ricardo Allen,ATL,25,SS,16,16,2,3,0,3,3,,,,,0,0.0,90,61,29,0,0,,AlleRi00
63,Vonn Bell,NOR,22,DB,16,14,0,0,0,0,4,2,0,1,0,0,1.0,87,61,26,2,4,,BellVo00
64,Barry Church,DAL,28,SS,12,12,2,14,0,14,4,1,0,0,0,0,0.0,85,61,24,2,2,,ChurBa99
65,William Compton,WAS,27,LILB,15,15,1,5,0,5,5,1,0,2,0,0,0.0,106,61,45,5,2,,CompWi00
66,Ramik Wilson,KAN,24,RILB,11,11,1,6,0,6,3,1,0,2,0,0,0.0,76,61,15,3,0,,WilsRa00
67,Nick Bellore,SFO,27,LILB,14,10,1,4,0,4,5,1,0,1,0,0,1.0,83,60,23,4,3,,BellNi01
68,Ronald Darby,BUF,22,LCB,14,14,0,0,0,0,12,,,,,,0.0,69,60,9,1,1,,DarbRo00
69,Jason McCourty,TEN,29,RCB,14,14,2,7,0,6,12,0,0,1,0,0,0.0,69,60,9,0,0,,McCoJa99
70,Chris Conte,TAM,27,SS,14,11,2,73,1,53,5,0,0,1,10,0,0.0,69,59,10,1,0,,ContCh00
71,Demario Davis,CLE,27,LILB,16,15,0,0,0,0,2,1,0,0,0,0,2.0,99,59,40,7,5,,DaviDe00
72,Kevin Minter,ARI,26,RILB,16,16,0,0,0,0,2,,,,,0,3.5,81,59,22,9,7,,MintKe00
73,Steven Nelson,KAN,23,RCB,15,15,0,0,0,0,16,0,0,2,0,0,0.0,65,59,6,4,1,,NelsSt01
74,Lardarius Webb,BAL,31,FS,16,16,1,0,0,0,5,,,,,0,1.0,73,59,14,2,1,,WebbLa99
75,Shawn Williams,CIN,25,SS,15,15,3,14,0,13,5,0,1,0,0,0,1.0,81,59,22,3,8,,WillSh02
76,Jordan Hicks,PHI,24,MLB,16,16,5,41,0,34,11,0,0,1,0,0,1.0,85,58,27,6,5,,HickJo00
77,D.J. Swearinger,ARI,25,DB,16,12,3,13,0,12,8,,,,,0,2.0,66,58,8,5,3,,SweaDJ00
78,Adrian Amos,CHI,23,FS,15,14,0,0,0,0,4,1,0,1,21,0,0.0,65,57,8,3,0,,AmosAd00
79,Chris Harris Jr.*+,DEN,27,RCB,16,15,2,36,0,36,11,1,0,1,6,0,0.0,63,57,6,1,0,,HarrCh01
80,Jake Ryan,GNB,24,LILB,14,10,0,0,0,0,3,,,,,,0.0,82,57,25,7,3,,RyanJa00
81,DeShawn Shead,SEA,27,RCB,15,15,1,2,0,2,14,1,0,0,0,0,0.0,81,57,24,0,0,,SheaDe00
82,Lorenzo Alexander*,BUF,33,ROLB,16,16,1,28,0,28,6,3,0,0,0,0,12.5,76,56,20,10,22,,AlexLo99
83,David Amerson,OAK,25,LCB,15,15,2,0,0,0,16,,,,,0,0.0,64,56,8,1,0,,AmerDa00
84,Jairus Byrd,NOR,30,FS,16,15,2,35,0,24,3,,,,,0,0.0,82,56,26,2,0,,ByrdJa99
85,C.J. Mosley*,BAL,24,LILB,14,14,4,40,0,28,8,1,1,0,0,0,0.0,92,56,36,5,4,,MoslC.00
86,Denzel Perryman,SDG,24,RILB,12,11,1,1,0,1,2,,,,,0,2.0,72,56,16,8,2,,PerrDe00
87,Sean Davis,PIT,23,SS,16,9,1,0,0,0,5,0,0,1,0,0,1.5,70,55,15,4,4,,DaviSe00
88,Damon Harrison+,NYG,28,LDT,16,16,0,0,0,0,1,1,0,0,0,0,2.5,86,55,31,6,4,,HarrDa03
89,Gerald Hodges,SFO,25,RILB,15,12,2,27,0,21,2,1,0,1,0,0,3.0,83,55,28,3,4,,HodgGe00
90,Mike Mitchell,PIT,29,FS,16,16,1,26,0,26,9,0,0,1,0,0,0.0,77,55,22,0,1,,MitcMi99
91,Glover Quin,DET,30,FS,16,16,2,0,0,0,5,1,0,0,0,0,0.0,68,55,13,2,1,,QuinGl99
92,Jalen Ramsey,JAX,22,RCB,16,16,2,65,1,35,14,1,0,0,0,0,0.0,65,55,10,2,1,,RamsJa00
93,Ryan Shazier*,PIT,24,LILB,13,12,3,0,0,0,9,3,0,1,0,0,3.5,87,55,32,9,7,,ShazRy00
94,Daniel Sorensen,KAN,26,DB,16,1,3,48,1,48,6,2,0,3,56,0,1.0,63,55,8,4,3,,SoreDa01
95,Darian Stewart*,DEN,28,FS,16,16,3,36,0,25,6,1,0,1,28,0,0.0,68,55,13,2,2,,StewDa00
96,Joe Thomas,GNB,25,LILB,16,7,1,9,0,9,5,0,1,1,6,0,0.0,70,55,15,3,2,,ThomJo04
97,Duke Ihenacho,WAS,27,FS,15,10,0,0,0,0,2,,,,,,0.0,66,54,12,4,1,,IhenDu00
