,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,-9999
1,Patrick Willis*+,SFO,24,RILB,16,16,3,33,1,23,8,3,0,0,0,0,4.0,152,114,38,13,11,,WillPa98
2,Jon Beason*,CAR,24,MLB,16,16,3,46,0,18,7,1,0,2,0,0,3.0,141,111,30,14,5,,BeasJo99
3,Kirk Morrison,OAK,27,MLB,16,16,0,0,0,0,1,3,1,1,8,0,2.0,133,109,24,10,2,,MorrKi20
4,James Laurinaitis,STL,23,MLB,16,16,2,28,0,21,5,0,0,1,0,0,2.0,121,108,13,7,6,,LaurJa99
5,Barrett Ruud,TAM,26,MLB,16,16,1,23,0,21,7,1,0,0,0,0,0.0,143,107,36,3,0,,RuudBa20
6,Curtis Lofton,ATL,23,MLB,16,16,0,0,0,0,2,2,,,,,0.0,133,105,28,4,2,,LoftCu99
7,D.J. Williams,DEN,27,RILB,16,16,0,0,0,0,7,3,0,2,8,0,3.5,122,100,22,13,5,,WillD.20
8,Tyvon Branch,OAK,23,SS,16,16,0,0,0,0,8,2,0,0,0,0,1.0,124,98,26,6,1,,BranTy99
9,Brian Dawkins*,DEN,36,FS,16,16,2,0,0,0,10,1,0,3,0,0,0.0,116,95,21,6,2,,DawkBr00
10,London Fletcher*,WAS,34,MLB,16,16,1,2,0,2,6,1,0,0,0,0,2.0,142,95,47,7,3,,FletLo20
11,Ray Lewis*+,BAL,34,RILB,16,16,0,9,0,9,8,2,0,1,1,0,3.0,134,95,39,10,7,,LewiRa00
12,Demorrio Williams,KAN,29,LILB,16,13,0,0,0,0,6,,,,,,0.0,117,95,22,3,0,,WillDe22
