,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,,-additional
58,Christian Harris,HOU,22,LB,16,12,0,0,0,0,7,1,0,0,0,0,2.0,101,65,36,7,3,,HarrCh06
59,Tre'von Moehrig,LVR,24,S,17,17,3,41,0,25,8,,,,,0,2.0,83,65,18,1,2,,MoehTr00
60,Tyrique Stevenson,CHI,23,DB,16,16,4,45,0,34,16,2,0,0,0,0,0.0,86,65,21,1,0,,StevTy01
61,Jahlani Tavai,NWE,27,LB,17,16,2,2,0,2,5,2,1,0,0,0,1.0,110,65,45,5,4,,TavaJa00
62,Jordan Whitehead,NYJ,26,S,17,17,4,6,0,6,9,,,,,0,0.5,97,65,32,3,1,,WhitJo03
63,Mike Hilton,CIN,29,CB,17,13,2,16,0,16,8,0,0,1,0,0,2.0,84,64,20,12,2,,HiltMi01
64,David Long,MIA,27,LB,17,17,0,0,0,0,1,1,0,0,0,0,1.0,113,64,49,9,6,,LongDa04
65,Grant Delpit,CLE,25,S,13,13,1,0,0,0,3,0,1,1,14,0,1.5,80,63,17,7,4,,DelpGr00
66,Quandre Diggs,SEA,30,FS,17,17,1,21,0,21,5,,,,,0,0.0,95,63,32,1,0,,DiggQu00
67,Kyle Hamilton*+,BAL,22,S,15,15,4,25,1,18,13,1,0,0,0,0,3.0,81,63,18,10,4,,HamiKy00
68,Micah McFadden,NYG,23,LB,16,14,1,5,0,5,5,0,0,4,10,0,1.0,101,63,38,12,6,,McFaMi01
69,Ivan Pace,MIN,23,LB,17,11,1,0,0,0,2,1,0,1,6,0,2.5,102,63,39,2,9,,PaceIv00
70,Germaine Pratt,CIN,27,LB,17,17,2,9,0,9,3,2,0,0,0,0,2.0,118,63,55,7,3,,PratGe00
71,Jordyn Brooks,SEA,26,LB,16,16,1,12,1,12,4,1,0,1,8,0,4.5,111,62,49,8,5,,BrooJo01
72,Roger McCreary,TEN,23,CB,15,11,1,18,0,18,6,1,0,0,0,0,2.0,86,62,24,7,2,,McCrRo01
73,D.J. Reed,NYJ,27,CB,15,15,1,0,0,0,9,1,0,0,0,0,0.0,76,62,14,2,0,,ReedD.00
74,K'Von Wallace,2TM,26,,17,12,1,2,0,2,6,,,,,0,0.0,89,62,27,1,1,,WallKV00
75,Jordan Fuller,LAR,25,DB,17,17,3,39,0,21,8,3,0,0,0,0,0.0,94,61,33,1,0,,FullJo01
76,Jordan Hicks,MIN,31,LB,13,13,1,9,0,9,5,1,0,2,42,1,1.0,107,61,46,4,2,,HickJo00
77,Paulson Adebo,NOR,24,CB,15,15,4,32,0,27,18,2,0,2,0,0,0.0,76,60,16,0,0,,AdebPa00
78,Markquese Bell,DAL,24,S,17,8,0,0,0,0,4,2,0,0,0,0,0.0,94,60,34,3,0,,BellMa01
79,Josey Jewell,DEN,29,LB,16,15,0,0,0,0,3,2,0,3,10,0,3.0,108,60,48,2,3,,JeweJo00
80,Trent McDuffie+,KAN,23,CB,16,16,0,0,0,0,7,5,0,0,0,0,3.0,80,60,20,3,9,,McDuTr00
81,Harrison Smith,MIN,34,S,17,17,0,0,0,0,3,3,0,0,0,0,3.0,93,60,33,2,6,,SmitHa00
82,L'Jarius Sneed,KAN,26,CB,16,16,2,4,0,4,14,0,0,1,0,0,0.0,78,60,18,5,3,,SneeLJ00
83,Pete Werner,NOR,24,LB,16,16,1,0,0,0,1,0,0,2,3,0,0.5,93,60,33,4,1,,WernPe00
84,Nate Hobbs,LVR,24,CB,13,11,1,10,0,10,7,1,0,0,0,0,1.0,86,59,27,6,2,,HobbNa00
85,Keisean Nixon+,GNB,26,CB,17,13,1,2,0,2,6,0,3,2,0,0,0.5,80,59,21,3,1,,NixoKe00
86,Jason Pinnock,NYG,24,S,16,16,2,123,1,102,6,2,0,0,0,0,2.0,85,59,26,6,4,,PinnJa01
87,Patrick Surtain II*,DEN,23,CB,17,17,1,0,0,0,12,,,,,0,0.0,69,59,10,0,0,,SurtPa01
88,Jalen Thompson,ARI,25,S,15,15,4,49,0,35,9,1,0,0,0,0,1.0,78,59,19,5,3,,ThomJa04
89,Quay Walker,GNB,23,LB,14,14,1,37,1,37,3,,,,,0,2.5,118,59,59,7,5,,WalkQu00
90,Budda Baker*,ARI,27,S,12,12,,,0,,,,,,,0,0.0,87,58,29,5,0,,BakeBu00
91,Deommodore Lenoir,SFO,24,DB,17,17,3,49,0,28,10,,,,,0,0.0,84,58,26,1,0,,LenoDe00
92,Jonathan Owens,GNB,28,S,17,11,0,0,0,0,3,1,0,1,27,1,1.0,84,58,26,2,1,,OwenJo01
93,Jalen Pitre,HOU,24,S,15,15,0,0,0,0,5,1,0,1,22,0,0.0,84,58,26,6,2,,PitrJa00
94,Derrick Brown*,CAR,25,DT,17,17,1,2,0,2,6,,,,,0,2.0,103,57,46,7,15,,BrowDe05
95,Tyrel Dodson,BUF,25,LB,17,10,0,0,0,0,2,1,0,1,0,0,2.5,74,57,17,8,6,,DodsTy01
96,Khalil Mack*,LAC,32,OLB,17,17,0,0,0,0,10,5,0,0,0,0,17.0,74,57,17,21,22,,MackKh00
97,Brandon Stephens,BAL,26,DB,16,16,2,56,0,52,11,,,,,0,0.0,74,57,17,2,0,,StepBr01
98,Blake Cashman,HOU,27,LB,14,13,1,0,0,0,5,0,0,1,2,0,2.0,106,56,50,9,5,,CashBl00
99,Isaiah McDuffie,GNB,24,LB,16,8,0,0,0,0,1,,,,,0,0.5,86,56,30,5,3,,McDuIs00
100,Asante Samuel Jr.,LAC,24,CB,17,16,2,8,0,8,13,,,,,0,0.0,63,56,7,1,0,,SamuAs00
101,Alontae Taylor,NOR,25,CB,17,13,2,16,0,16,14,1,0,0,0,0,1.0,75,56,19,6,1,,TaylAl01
102,Charvarius Ward*,SFO,27,CB,17,17,5,91,1,66,23,1,0,0,0,0,0.0,72,56,16,2,0,,WardCh01
103,Devon Witherspoon*,SEA,23,CB,14,13,1,97,1,97,16,1,0,0,0,0,3.0,79,56,23,8,4,,WithDe00
104,Ja'Whaun Bentley,NWE,27,LB,16,16,0,0,0,0,3,1,0,0,0,0,4.5,114,55,59,5,12,,BentJa00
105,Maxx Crosby*,LVR,26,DE,17,17,0,0,0,0,2,2,0,1,0,0,14.5,90,55,35,23,31,,CrosMa00
106,Kendall Fuller,WAS,28,CB,15,15,2,23,0,23,9,0,0,2,-1,0,0.0,79,55,24,2,0,,FullKe00
107,Jack Gibbens,TEN,25,LB,14,13,0,0,0,0,3,,,,,0,1.0,95,55,40,3,2,,GibbJa00
108,Donovan Wilson,DAL,28,S,15,13,2,0,0,0,3,1,0,2,0,0,0.0,88,55,33,2,1,,WilsDo01
109,Tony Adams,NYJ,24,S,15,15,3,50,0,45,5,,,,,0,0.0,82,54,28,6,0,,AdamTo03
110,Zach Cunningham,PHI,29,LB,13,10,0,0,0,0,4,0,0,1,0,0,0.0,85,54,31,2,1,,CunnZa00
111,Stephon Gilmore,DAL,33,CB,17,17,2,0,0,0,13,1,0,0,0,0,0.0,68,54,14,0,0,,GilmSt00
112,Danielle Hunter*,MIN,29,OLB,17,17,0,0,0,0,2,4,0,0,0,0,16.5,83,54,29,23,22,,HuntDa01
113,Deonte Banks,NYG,22,CB,15,15,2,6,0,6,11,,,,,0,0.0,64,53,11,2,0,,BankDe00
114,DaRon Bland*+,DAL,24,CB,17,15,9,209,5,63,15,,,,,0,0.0,69,53,16,3,1,,BlanDa00
115,DeShon Elliott,MIA,26,S,15,15,1,0,0,0,7,0,0,1,0,0,0.0,82,53,29,1,0,,ElliDe02
116,Justin Simmons*,DEN,30,S,15,15,3,39,0,33,8,2,0,1,7,0,1.0,70,53,17,2,0,,SimmJu00
117,Drue Tranquill,KAN,28,LB,16,8,0,0,0,0,1,2,0,0,0,0,4.5,78,53,25,7,7,,TranDr00
118,Kyzir White,ARI,27,LB,11,11,1,0,0,0,3,,,,,0,2.0,90,53,37,9,2,,WhitKy00
119,Jack Campbell,DET,23,LB,17,12,0,0,0,0,1,,,,,0,2.0,95,52,43,5,3,,CampJa04
120,Michael Davis,LAC,28,CB,17,13,1,0,0,0,10,,,,,0,0.0,62,52,10,3,0,,DaviMi03
121,Jevon Holland,MIA,23,S,12,12,1,99,1,99,4,3,0,1,4,0,0.0,74,52,22,3,0,,HollJe02
122,Kader Kohou,MIA,25,CB,17,16,0,0,0,0,10,0,0,1,0,0,1.0,63,52,11,5,5,,KohoKa00
123,Ryan Neal,TAM,28,S,15,13,,,0,,,,,,,0,0.0,76,52,24,4,0,,NealRy00
124,Jabrill Peppers,NWE,28,DB,15,15,2,34,0,33,8,1,1,1,0,0,1.0,78,52,26,5,2,,PeppJa00
125,Benjamin St-Juste,WAS,26,CB,16,16,1,0,0,0,17,2,0,0,0,0,1.0,67,52,15,1,1,,StJuBe00
126,Jerome Baker,MIA,27,LB,13,12,2,24,1,23,3,,,,,0,1.5,78,51,27,2,4,,BakeJe00
127,Brian Branch,DET,22,DB,15,9,3,63,1,50,13,1,0,0,0,0,1.0,74,50,24,7,3,,BranBr00
128,Jamin Davis,WAS,25,LB,13,13,1,0,0,0,4,2,0,0,0,0,3.0,89,50,39,8,3,,DaviJa11
129,Tyrann Mathieu,NOR,31,S,17,17,4,122,1,74,9,,,,,0,0.0,75,50,25,0,1,,MathTy00
130,Cameron Sutton,DET,28,CB,17,17,1,23,0,23,6,1,0,0,0,0,0.0,65,50,15,4,0,,SuttCa00
131,Akayleb Evans,MIN,24,CB,15,15,1,1,0,1,7,3,0,0,0,0,0.0,65,49,16,0,0,,EvanAk00
132,Alohi Gilman,LAC,26,S,14,14,2,0,0,0,10,3,0,2,52,0,0.0,73,49,24,2,0,,GilmAl00
133,Adoree' Jackson,NYG,28,CB,14,14,1,76,1,76,8,1,0,0,0,0,0.0,63,49,14,0,0,,JackAd00
134,Donte Jackson,CAR,28,CB,16,16,0,0,0,0,5,1,0,0,0,0,0.0,59,49,10,5,0,,JackDo02
135,Jerry Jacobs,DET,26,CB,15,12,3,45,0,20,8,,,,,0,0.0,55,49,6,2,1,,JacoJe00
136,Anfernee Jennings,NWE,26,LB,15,14,,,0,,,0,0,1,0,0,1.5,66,49,17,14,4,,JennAn00
137,Zyon McCollum,TAM,24,CB,17,9,0,0,0,0,9,2,0,0,0,0,0.0,68,49,19,1,0,,McCoZy02
138,Devin White,TAM,25,LB,14,13,2,36,0,26,6,,,,,0,2.5,83,49,34,5,9,,WhitDe02
139,Jayron Kearse,DAL,29,S,16,13,1,32,0,32,4,,,,,0,1.5,72,48,24,4,3,,KearJa00
140,Steven Nelson,HOU,30,CB,17,16,4,33,0,33,12,,,,,0,0.0,63,48,15,0,0,,NelsSt01
141,Isaiah Oliver,SFO,27,CB,17,6,1,3,0,3,2,0,0,1,0,0,0.0,67,48,19,2,3,,OlivIs00
142,Christian Rozeboom,LAR,26,LB,17,5,1,0,0,0,4,,,,,0,0.0,79,48,31,2,2,,RozeCh00
143,Darius Slay*,PHI,32,CB,12,12,2,86,1,70,14,,,,,0,0.0,57,48,9,1,0,,SlayDa00
144,T.J. Watt*+,PIT,29,LB,17,17,1,24,0,24,8,4,0,3,34,1,19.0,68,48,20,19,36,,WattT.00
145,Rasul Douglas,2TM,29,,16,15,5,56,1,40,14,0,0,3,2,0,1.0,61,47,14,3,1,,DougRa00
146,Rudy Ford,GNB,29,S,13,9,2,30,0,21,6,0,0,1,0,0,0.0,71,47,24,0,0,,FordRu00
147,Christian Izien,TAM,23,S,17,4,2,18,0,14,2,1,0,0,0,0,0.0,65,47,18,3,2,,IzieCh00
148,Elijah Molden,TEN,24,CB,15,8,1,44,1,44,4,1,0,1,1,0,0.0,73,47,26,1,0,,MoldEl00
149,De'Vondre Campbell,GNB,30,LB,11,11,0,0,0,0,1,0,0,1,3,0,0.0,75,46,29,3,2,,CampDe00
150,Jamel Dean,TAM,27,CB,13,13,0,0,0,0,4,0,0,2,7,0,0.0,61,46,15,0,0,,DeanJa00
151,Damontae Kazee,PIT,30,S,14,9,2,37,0,30,3,0,0,2,1,0,0.0,61,46,15,0,0,,KazeDa00
152,Shaquille Leonard,2TM,28,,14,12,,,0,,,,,,,0,1.0,88,46,42,4,1,,LeonDa00
153,DeForest Buckner*,IND,29,DT,17,16,0,0,0,0,7,2,0,1,26,1,8.0,81,45,36,11,21,,BuckDe00
154,Bradley Chubb,MIA,27,LB,16,16,0,0,0,0,2,6,0,2,2,0,11.0,73,45,28,11,22,,ChubBr00
155,Martin Emerson,CLE,23,CB,16,12,4,24,0,13,14,,,,,0,0.0,59,45,14,1,0,,EmerMa00
156,Michael Hoecht,LAR,26,OLB,17,17,0,0,0,0,2,1,0,0,0,0,6.0,81,45,36,7,11,,HoecMi00
157,Harold Landry,TEN,27,OLB,17,10,,,0,,,,,,,0,10.5,70,45,25,14,21,,LandHa00
158,Denzel Perryman,HOU,31,LB,12,11,0,0,0,0,3,,,,,0,0.5,76,45,31,6,2,,PerrDe00
159,Sione Takitaki,CLE,28,LB,15,7,1,0,0,0,3,,,,,0,2.0,65,45,20,3,3,,TakiSi00
160,Jonathon Cooper,DEN,25,OLB,17,17,1,4,0,4,2,1,0,2,35,1,8.5,72,44,28,8,13,,CoopJo02
161,Willie Gay Jr.,KAN,25,LB,16,15,1,24,0,24,4,1,0,3,1,0,1.0,58,44,14,4,3,,GayJWi00
162,Kyler Gordon,CHI,24,DB,13,7,2,0,0,0,6,,,,,0,1.0,61,44,17,3,2,,GordKy00
163,Carl Granderson,NOR,27,DE,17,17,0,0,0,0,1,1,0,1,0,0,8.5,78,44,34,14,20,,GranCa01
164,Khaleke Hudson,WAS,26,LB,17,8,0,0,0,0,2,,,,,0,1.0,74,44,30,5,2,,HudsKh00
165,Harrison Phillips,MIN,27,DL,17,17,0,0,0,0,2,,,,,0,3.0,92,44,48,2,6,,PhilHa00
166,Geno Stone,BAL,24,S,17,11,7,101,0,36,9,,,,,0,0.0,68,44,24,0,0,,StonGe00
167,Darious Williams,JAX,30,CB,17,17,4,72,1,61,19,2,0,0,0,0,0.0,53,44,9,3,0,,WillDa09
168,Josh Allen*,JAX,26,OLB,17,17,1,8,0,8,1,2,0,0,0,0,17.5,66,43,23,17,33,,AlleJo03
169,Chidobe Awuzie,CIN,28,CB,15,10,0,0,0,0,6,1,0,1,0,0,0.0,57,43,14,2,0,,AwuzCh00
170,Jordan Battle,CIN,23,S,17,7,1,0,0,0,5,,,,,0,2.0,71,43,28,4,3,,BattJo00
171,Christian Benford,BUF,23,CB,15,14,2,8,0,8,10,2,0,1,0,0,0.0,54,43,11,3,0,,BenfCh00
172,Minkah Fitzpatrick*,PIT,27,S,10,10,0,0,0,0,3,,,,,0,0.0,64,43,21,1,0,,FitzMi00
173,Byron Murphy,MIN,25,CB,14,14,3,59,0,37,13,1,1,1,0,0,0.0,57,43,14,4,0,,MurpBy00
174,Jack Sanborn,CHI,23,LB,17,10,1,42,0,42,2,,,,,0,1.0,65,43,22,7,1,,SanbJa00
175,Ahkello Witherspoon,LAR,28,DB,17,17,3,17,0,17,14,0,0,2,0,0,0.0,52,43,9,3,0,,WithAh00
176,Derrick Barnes,DET,24,LB,16,13,,,0,,,1,0,0,0,0,1.0,81,42,39,5,5,,BarnDe02
177,Vonn Bell,CAR,29,S,13,13,1,11,0,11,2,,,,,0,0.0,69,42,27,0,1,,BellVo00
178,Andre Cisco,JAX,23,S,15,15,4,68,0,29,5,1,1,0,0,0,0.5,62,42,20,1,1,,CiscAn00
179,Quentin Lake,LAR,24,DB,14,4,0,0,0,0,6,0,0,1,0,0,0.0,53,42,11,1,0,,LakeQu00
180,Sean Murphy-Bunting,TEN,26,CB,14,14,2,12,0,10,8,2,0,1,5,0,0.0,57,42,15,3,0,,BuntSe00
181,Andrew Van Ginkel,MIA,28,LB,17,11,1,33,1,33,8,0,0,1,29,0,6.0,69,42,27,8,19,,VanGAn00
182,Tracy Walker,DET,28,S,17,6,0,0,0,0,2,1,0,0,0,0,1.0,59,42,17,1,3,,WalkTr01
183,Riq Woolen,SEA,24,CB,16,15,2,0,0,0,11,0,0,2,1,0,0.0,53,42,11,1,0,,WoolTa00
184,Byron Young,LAR,25,OLB,17,16,,,0,,,2,0,1,0,0,8.0,61,42,19,8,19,,YounBy01
185,Tyson Campbell,JAX,23,CB,11,11,1,0,0,0,5,1,0,0,0,0,0.0,60,41,19,2,0,,CampTy01
186,Marcus Epps,LVR,27,S,17,17,0,0,0,0,3,1,0,1,1,0,0.0,66,41,25,4,0,,EppsMa00
187,Sauce Gardner*+,NYJ,23,CB,16,16,0,0,0,0,11,1,0,0,0,0,0.0,57,41,16,2,0,,GardSa00
188,Tashaun Gipson,SFO,33,S,16,16,1,26,0,26,3,,,,,0,1.0,60,41,19,3,1,,GipsTa00
189,Derion Kendrick,LAR,23,DB,17,12,1,0,0,0,10,,,,,0,0.0,49,41,8,3,0,,KendDe00
190,Juan Thornhill,CLE,28,S,11,11,0,0,0,0,1,,,,,0,0.0,54,41,13,0,2,,ThorJu00
191,Marco Wilson,2TM,24,,16,11,0,0,0,0,4,,,,,0,0.0,53,41,12,0,0,,WilsMa04
192,Leo Chenal,KAN,23,LB,17,10,0,0,0,0,1,,,,,0,3.0,65,40,25,8,7,,ChenLe00
193,Carlton Davis,TAM,27,CB,12,12,2,3,0,3,9,,,,,0,0.0,52,40,12,0,0,,DaviCa02
194,Jonathan Jones,NWE,30,DB,14,14,0,0,0,0,7,,,,,0,0.0,48,40,8,0,0,,JoneJo03
195,Cam Taylor-Britt,CIN,24,CB,12,12,4,65,1,30,11,1,0,0,0,0,0.0,50,40,10,1,0,,TaylCa01
196,DJ Turner,CIN,23,CB,17,12,0,0,0,0,7,0,0,1,28,0,1.0,50,40,10,2,1,,TurnDJ01
197,Christian Barmore,NWE,24,DL,17,6,0,0,0,0,6,1,0,0,0,0,8.5,64,39,25,13,16,,BarmCh00
198,James Bradberry,PHI,30,CB,16,16,1,5,0,5,13,0,0,1,1,0,0.0,54,39,15,0,0,,BradJa00
199,Samson Ebukam,IND,28,DE,17,17,0,0,0,0,1,3,0,0,0,0,9.5,57,39,18,10,17,,EbukSa00
200,Talanoa Hufanga,SFO,23,S,10,10,3,48,0,28,3,,,,,0,0.0,52,39,13,1,2,,HufaTa00
201,Marshon Lattimore,NOR,27,CB,10,10,1,0,0,0,8,,,,,0,0.0,48,39,9,2,0,,LattMa01
202,David Mayo,WAS,30,LB,17,5,,,0,,,,,,,0,2.0,59,39,20,6,2,,MayoDa00
203,Quinnen Williams*,NYJ,26,DL,17,17,1,6,0,6,3,1,0,1,0,0,5.5,62,39,23,11,20,1,WillQu00
204,Xavier Woods,CAR,28,S,14,14,2,-1,0,2,7,0,0,1,5,0,0.0,61,39,22,4,0,,WoodXa00
205,Nick Bolton,KAN,23,LB,8,8,1,1,0,1,3,,,,,0,0.0,60,38,22,1,1,,BoltNi00
206,Sam Hubbard,CIN,28,DE,15,15,,,0,,,0,0,2,0,0,6.0,58,38,20,7,17,,HubbSa00
207,Justin Madubuike*,BAL,26,DT,17,17,,,0,,,1,0,0,0,0,13.0,56,38,18,12,33,,MaduJu00
208,Amik Robertson,LVR,25,CB,17,12,2,40,0,40,6,1,0,0,0,0,1.0,50,38,12,2,1,,RobeAm00
209,Montez Sweat*,2TM,27,,17,17,0,0,0,0,4,3,0,0,0,0,12.5,57,38,19,14,25,,SweaMo00
210,Christian Wilkins,MIA,28,DT,17,17,0,0,0,0,2,1,0,2,0,0,9.0,65,38,27,10,23,,WilkCh00
211,Eli Apple,MIA,28,CB,10,4,1,8,0,8,9,,,,,0,0.5,46,37,9,0,1,,ApplEl00
212,Michael Carter,NYJ,24,CB,15,7,0,0,0,0,9,1,0,0,0,0,0.0,50,37,13,1,1,,CartMi02
213,Kei'Trel Clark,ARI,22,CB,14,7,0,0,0,0,4,,,,,0,0.0,43,37,6,2,0,,ClarKe02
