,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,-9999
1,Foyesade Oluokun,JAX,28,LB,17,17,1,24,1,24,6,1,0,3,0,0,2.5,173,111,62,8,10,,OluoFo00
2,Zaire Franklin,IND,27,LB,16,16,0,0,0,0,6,2,0,0,0,0,1.5,179,107,72,3,3,,FranZa00
3,Alex Singleton,DEN,30,LB,17,16,0,0,0,0,4,0,0,2,0,0,2.0,177,106,71,6,6,,SingAl00
4,Bobby Wagner*,SEA,33,LB,17,16,0,0,0,0,3,0,0,1,0,0,3.5,183,96,87,11,6,,WagnBo00
5,Quincy Williams+,NYJ,27,LB,17,16,1,11,0,11,10,2,0,1,0,0,2.0,139,95,44,15,4,,WillQu01
6,Camryn Bynum,MIN,25,S,17,17,2,0,0,0,9,3,0,0,0,0,0.5,137,94,43,2,1,,BynuCa00
7,Bobby Okereke,NYG,27,LB,17,17,2,62,0,55,10,4,0,0,0,0,2.5,149,92,57,11,6,,OkerBo00
8,T.J. Edwards,CHI,27,LB,17,17,3,4,0,2,7,1,0,2,0,0,2.5,155,91,64,8,8,,EdwaTJ02
9,Jessie Bates III*,ATL,26,S,17,17,6,95,1,92,11,3,0,0,0,0,0.0,132,89,43,3,1,,BateJe00
10,Lavonte David,TAM,33,LB,15,15,0,0,0,0,5,1,0,0,0,0,4.5,134,86,48,17,5,,DaviLa00
11,Derwin James,LAC,27,S,16,16,1,6,0,6,7,0,0,2,0,0,2.0,125,86,39,5,4,,JameDe00
12,Alex Anzalone,DET,29,LB,16,16,0,0,0,0,6,0,0,1,0,0,3.0,129,85,44,7,12,,AnzaAl00
13,Julian Love*,SEA,25,S,17,12,4,7,0,7,10,2,0,1,3,0,0.0,123,85,38,1,0,,LoveJu00
14,Azeez Al-Shaair,TEN,26,LB,17,17,0,0,0,0,4,0,0,1,0,0,2.0,163,84,79,9,6,,AlShAz00
15,Terrel Bernard,BUF,24,LB,17,17,3,2,0,2,5,0,0,3,-1,0,6.5,143,84,59,10,9,,BernTe00
16,Patrick Queen*,BAL,24,LB,17,17,1,21,0,21,6,1,0,1,0,0,3.5,133,84,49,9,6,,QueePa00
17,Roquan Smith*+,BAL,26,LB,16,16,1,30,0,30,8,1,0,0,0,0,1.5,158,84,74,5,5,,SmitRo07
18,Kaden Elliss,ATL,28,LB,17,17,0,0,0,0,3,,,,,0,4.0,122,82,40,11,6,,ElliKa00
19,Robert Spillane,LVR,28,LB,17,17,3,53,0,25,4,1,0,1,0,0,3.5,148,82,66,7,4,,SpilRo00
20,Fred Warner*+,SFO,27,LB,17,17,4,66,0,32,11,4,0,0,0,0,2.5,132,82,50,6,5,,WarnFr00
21,C.J. Mosley,NYJ,31,LB,17,17,1,0,0,0,7,2,0,1,0,0,0.5,152,81,71,5,2,,MoslC.00
22,Kevin Byard,2TM,30,,16,16,1,0,0,0,3,0,0,1,0,0,0.0,122,80,42,0,0,,ByarKe01
23,Reed Blankenship,PHI,24,S,15,15,3,17,0,17,11,0,0,1,0,0,0.0,113,79,34,2,1,,BlanRe00
24,Eric Kendricks,LAC,31,LB,15,14,0,0,0,0,6,1,0,0,0,0,3.5,117,79,38,7,7,,KendEr00
25,Kenneth Murray,LAC,25,LB,15,15,1,0,0,0,4,,,,,0,3.0,107,79,28,7,4,,MurrKe00
26,Xavier McKinney,NYG,24,S,17,17,3,22,0,18,11,1,0,2,7,0,0.5,116,78,38,2,1,,McKiXa00
27,Josh Metellus,MIN,25,S,17,17,1,43,0,43,5,4,0,1,0,0,2.5,116,78,38,7,10,,MeteJo00
28,E.J. Speed,IND,28,LB,16,11,0,0,0,0,4,3,0,0,0,0,1.0,102,78,24,12,2,,SpeeEJ00
29,Logan Wilson,CIN,27,LB,17,17,4,42,0,26,9,2,0,0,0,0,1.0,135,78,57,5,4,,WilsLo00
30,Antoine Winfield Jr.+,TAM,25,S,17,17,3,28,0,28,12,6,0,4,5,0,6.0,122,76,46,6,8,,WinfAn00
31,Dre Greenlaw,SFO,26,LB,15,15,0,13,0,13,4,,,,,0,1.5,120,75,45,5,4,,GreeDr00
32,Devin Lloyd,JAX,25,LB,15,15,0,0,0,0,7,0,0,2,13,0,0.0,127,75,52,2,1,,LloyDe00
33,Kamren Curl,WAS,24,S,16,16,0,0,0,0,5,1,0,1,0,0,1.0,115,74,41,3,3,,CurlKa00
34,Demario Davis*,NOR,34,LB,17,17,0,0,0,0,4,1,0,1,20,0,6.5,121,74,47,12,11,,DaviDe00
35,Ernest Jones,LAR,24,LB,15,15,0,0,0,0,6,,,,,0,4.5,145,74,71,14,6,,JoneEr01
36,Justin Reid,KAN,26,S,16,16,1,11,0,11,7,1,0,0,0,0,3.0,95,74,21,5,5,,ReidJu00
37,Daxton Hill,CIN,23,S,17,17,2,20,0,20,11,,,,,0,1.5,110,72,38,6,5,,HillDa04
38,Taron Johnson,BUF,27,CB,17,17,0,0,0,0,8,3,0,1,0,0,1.0,98,72,26,3,2,,JohnTa01
39,Jeremiah Owusu-Koramoah*,CLE,24,LB,16,13,2,8,0,8,6,1,0,0,0,0,3.5,101,72,29,20,5,,OwusJe00
40,Kyle Dugger,NWE,27,DB,17,17,2,35,0,20,7,1,0,0,0,0,1.5,109,71,38,6,5,,DuggKy00
41,Damone Clark,DAL,23,LB,17,17,0,0,0,0,3,0,0,1,0,0,0.0,109,70,39,4,3,,ClarDa02
42,Tremaine Edmunds,CHI,25,LB,15,15,4,61,1,45,7,1,0,1,0,0,0.0,113,69,44,5,0,,EdmuTr01
43,Amani Hooker,TEN,25,DB,13,13,1,10,0,10,7,1,0,1,0,0,0.0,85,69,16,3,0,,HookAm00
44,Kerby Joseph,DET,23,S,15,15,4,37,0,22,11,,,,,0,0.0,82,69,13,1,0,,JoseKe03
45,Kenny Moore,IND,28,CB,16,16,3,115,2,66,6,,,,,0,1.5,93,68,25,8,2,,MoorKe03
46,Elandon Roberts,PIT,29,LB,16,15,0,0,0,0,2,,,,,0,2.5,101,68,33,10,6,,RobeEl00
47,Cody Barton,WAS,27,LB,13,13,1,52,0,52,1,0,0,1,5,0,0.0,121,67,54,3,2,,BartCo00
48,Jaquan Brisker,CHI,24,DB,15,15,1,0,0,0,9,2,0,1,0,0,1.0,105,66,39,3,3,,BrisJa01
49,Richie Grant,ATL,26,S,17,15,1,4,0,4,6,2,0,0,0,0,3.0,103,66,37,3,5,,GranRi00
50,Rayshawn Jenkins,JAX,29,S,17,17,2,42,0,24,9,,,,,0,1.0,101,66,35,7,1,,JenkRa00
51,Nathan Landman,ATL,25,LB,16,14,1,25,0,25,3,3,0,0,0,0,2.0,110,66,44,7,4,,LandNa01
52,Frankie Luvu,CAR,27,LB,17,17,0,0,0,0,5,2,0,0,0,0,5.5,125,66,59,10,11,,LuvuFr00
53,Nicholas Morrow,PHI,28,LB,15,12,0,0,0,0,5,1,0,2,0,0,3.0,95,66,29,12,5,1,MorrNi00
54,Jordan Poyer,BUF,32,S,16,16,0,0,0,0,4,1,0,0,0,0,1.0,100,66,34,2,2,,PoyeJo00
55,Julian Blackmon,IND,25,S,15,15,4,38,0,25,8,0,1,2,2,0,0.0,88,65,23,5,1,,BlacJu01
56,Myles Bryant,NWE,25,DB,17,9,1,6,0,6,7,2,1,0,0,0,1.0,77,65,12,7,1,,BryaMy01
57,Divine Deablo,LVR,25,LB,15,15,0,0,0,0,2,0,0,1,0,0,1.0,106,65,41,4,2,,DeabDi00
