,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,-9999
1,James Laurinaitis,STL,26,MLB,16,16,2,18,0,18,5,0,0,1,4,0,0.5,142,117,25,4,2,,LaurJa99
2,Lavonte David,TAM,22,RLB,16,16,1,27,0,27,4,,,,,0,2.0,139,112,27,20,5,,DaviLa00
3,Derrick Johnson*,KAN,30,RILB,16,16,0,0,0,0,4,4,0,0,0,0,2.0,124,109,15,12,5,,JohnDe25
4,Daryl Washington*,ARI,26,RILB,16,16,1,7,0,7,4,2,0,1,3,0,9.0,134,108,26,15,12,,WashDa99
5,Russell Allen,JAX,26,RLB,16,16,0,0,0,0,6,0,0,1,0,0,0.5,131,107,24,9,4,,AlleRu00
6,Paul Posluszny,JAX,28,MLB,16,16,3,20,0,13,7,2,0,0,0,0,2.0,139,106,33,5,5,,PoluPa99
7,Luke Kuechly,CAR,21,MLB,16,16,2,22,0,25,7,0,0,3,9,0,1.0,164,103,61,12,1,,KuecLu00
8,Karlos Dansby,MIA,31,MLB,16,16,0,0,0,0,9,1,0,0,0,0,1.0,134,101,33,9,2,,DansKa20
9,Chad Greenway*,MIN,29,LLB,16,16,1,3,0,3,4,0,0,2,0,0,3.0,148,98,50,7,5,,GreeCh99
10,NaVorro Bowman*+,SFO,24,LILB,16,16,1,11,0,11,7,1,0,0,0,0,2.0,148,96,52,6,4,,BowmNa99
11,Jo-Lonn Dunbar,STL,27,RLB,16,16,2,63,0,42,5,2,0,0,0,0,4.5,115,91,24,16,12,,DunbJo20
12,Jerrell Freeman,IND,26,RILB,16,16,1,4,1,4,3,1,0,0,0,0,2.0,145,90,55,7,2,,FreeJe00
13,Morgan Burnett,GNB,23,SS/FS,16,16,2,1,0,1,5,2,0,1,0,0,2.0,123,88,35,5,4,,BurnMo99
14,Roman Harper,NOR,30,SS,16,16,2,41,0,41,11,,,,,0,0.0,115,88,27,4,1,,HarpRo21
15,Jerod Mayo*,NWE,26,LLB,16,16,1,0,0,0,3,4,0,1,0,0,3.0,147,88,59,5,5,,MayoJe99
16,Patrick Willis*+,SFO,27,RILB,16,16,2,2,0,2,9,2,0,1,3,0,0.5,120,88,32,5,3,,WillPa98
17,Bobby Wagner,SEA,22,MLB,16,15,3,55,0,45,4,,,,,0,2.0,140,87,53,9,5,,WagnBo00
18,DeMeco Ryans,PHI,28,MLB,16,16,1,0,0,0,4,,,,,0,1.0,113,86,27,15,2,,RyanDe20
