,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,-9999
1,Keith Brooking*,ATL,28,LILB,16,16,0,0,0,0,3,0,0,2,0,0,0.0,144,126,18,6,,,BrooKe00
2,Donnie Edwards,SDG,30,RLB,16,16,2,27,0,15,9,1,0,0,0,0,0.5,162,124,38,6,,,EdwaDo20
3,Ray Lewis*+,BAL,28,RILB,16,16,6,99,1,37,14,2,0,2,1,0,1.5,163,121,42,7,,,LewiRa00
4,David Thornton,IND,25,RLB,16,16,2,3,0,2,5,,,,,0,1.0,145,112,33,6,,,ThorDa20
5,Micheal Barrow,NYG,33,MLB,16,16,0,0,0,0,4,3,0,0,0,0,2.0,150,111,39,14,,,BarrMi20
6,Jamie Sharper,HOU,29,RILB,16,16,0,0,0,0,3,3,0,0,0,0,4.0,166,107,59,8,,,SharJa20
7,Keith Bulluck*+,TEN,26,RLB,16,16,2,9,0,9,6,5,0,2,32,1,3.0,137,106,31,7,,,BullKe00
8,Chris Draft,ATL,27,RILB,16,16,1,4,0,4,1,1,0,1,0,0,2.0,125,104,21,7,,,DrafCh20
9,Jay Foreman,HOU,27,LILB,16,16,0,0,0,0,5,1,0,2,33,0,2.0,136,101,35,4,,,ForeJa20
10,Eric Barton,OAK,26,RLB,16,16,0,0,0,0,6,1,0,0,0,0,0.5,133,99,34,7,,,BartEr20
11,Andra Davis,CLE,25,MLB,16,16,0,0,0,0,6,2,0,0,0,0,5.0,138,98,40,6,,,DaviAn20
12,Scott Fujita,KAN,24,LLB,16,16,1,8,0,8,2,2,0,0,0,0,4.0,114,98,16,6,,,FujiSc20
13,London Fletcher,BUF,28,MLB,16,16,0,0,0,0,5,0,0,1,3,0,2.0,133,97,36,8,,,FletLo20
14,Sam Cowart,NYJ,28,RLB,15,15,0,0,0,0,4,1,0,1,0,0,2.0,140,96,44,5,,,CowaSa00
15,James Farrior,PIT,28,LILB,16,16,1,9,0,9,4,0,1,1,0,0,0.0,141,96,45,11,,,FarrJa99
16,Antoine Winfield,BUF,26,LCB,16,16,1,11,0,11,12,2,0,0,0,0,1.0,109,94,15,10,,,WinfAn20
17,Shawn Barber,KAN,28,RLB,16,16,1,28,0,28,6,1,0,0,0,0,5.0,113,93,20,13,,,BarbSh20
18,Dhani Jones,NYG,25,RLB,16,16,0,0,0,0,4,1,0,1,0,0,3.0,120,93,27,10,,,JoneDh20
19,Rodney Harrison+,NWE,31,SS,16,16,3,0,0,2,11,2,0,1,16,0,3.0,125,92,33,8,,,HarrRo01
20,Jeremiah Trotter,WAS,26,MLB,16,16,1,21,0,21,11,2,0,1,0,0,1.5,114,91,23,4,,,TrotJe00
21,Dat Nguyen,DAL,28,MLB,16,16,0,0,0,0,11,2,0,2,0,0,2.0,121,90,31,11,,,NguyDa20
22,Greg Wesley,KAN,25,SS,16,16,6,63,0,27,12,1,0,0,0,0,2.0,104,89,15,3,,,WeslGr20
23,Akin Ayodele,JAX,24,LLB,16,16,2,15,0,13,4,0,0,3,15,1,1.0,116,88,28,8,,,AyodAk20
24,Derek Smith,SFO,28,MLB,16,16,0,0,0,0,3,1,0,1,7,0,3.5,115,88,27,10,,,SmitDe21
25,Nick Barnett,GNB,22,MLB,15,15,3,21,0,14,6,0,0,1,0,0,2.0,112,86,26,4,,,BarnNi20
26,Brian Urlacher*,CHI,25,MLB,16,16,0,0,0,0,4,,,,,0,2.5,115,86,29,9,,,UrlaBr00
27,Zach Thomas*+,MIA,30,MLB,15,15,3,21,0,19,10,1,0,2,0,0,1.0,153,85,68,10,,,ThomZa01
28,Nick Harper,IND,29,RCB,16,13,4,121,1,75,14,,,,,0,0.0,97,83,14,7,,,HarpNi20
29,Ronde Barber,TAM,28,LCB/RCB,16,16,2,53,1,29,6,3,0,1,0,0,1.5,100,81,19,7,,,BarbRo00
30,Kendrell Bell,PIT,25,RILB,16,16,1,61,0,42,3,1,0,1,0,0,5.0,100,81,19,17,,,BellKe20
31,Tedy Bruschi,NWE,30,MLB,16,16,3,26,2,18,14,3,0,1,13,0,2.0,133,81,52,8,,,BrusTe99
32,Ronald McKinnon,ARI,30,MLB,16,16,0,0,0,0,1,2,0,1,0,0,2.0,106,81,25,13,,,McKiRo21
33,Anthony Simmons,SEA,27,LLB,13,13,3,38,0,33,8,1,0,1,4,0,3.0,100,80,20,6,,,SimmAn20
34,Mark Simoneau,PHI,26,MLB,16,16,0,0,0,0,5,3,0,0,0,0,2.0,102,80,22,2,,,SimoMa20
35,Ifeanyi Ohalete,WAS,24,SS,15,15,3,60,0,30,8,0,0,1,0,0,0.0,104,79,25,1,,,OhalIf20
36,Charles Tillman,CHI,22,LCB,16,13,4,27,0,32,12,2,0,0,0,0,1.0,86,79,7,2,,,TillCh20
37,Jay Bellamy,NOR,31,SS,16,16,3,19,0,10,13,1,0,0,0,0,1.0,95,78,17,8,,,BellJa22
38,Ken Hamlin,SEA,22,FS,16,14,1,2,0,2,8,2,0,1,0,0,0.0,98,78,20,0,,,HamlKe20
39,Zeke Moreno,SDG,25,MLB,16,12,0,0,0,0,4,1,0,2,0,0,2.0,95,78,17,7,,,MoreZe20
40,Brian Russell,MIN,25,FS,16,16,9,185,0,50,11,0,0,1,0,0,1.0,95,78,17,2,,,RussBr20
41,LaVar Arrington*,WAS,25,LLB,16,16,0,0,0,0,11,6,0,2,-7,0,6.0,90,77,13,9,,,ArriLa00
42,Na'il Diggs,GNB,25,RLB,16,16,2,13,0,13,6,,,,,0,1.0,87,77,10,12,,,DiggNa20
43,Mike Minter,CAR,29,SS,16,16,3,100,2,35,8,,,,,0,0.0,97,77,20,2,,,MintMi21
44,Jessie Armstead,WAS,33,RLB,16,15,0,0,0,0,2,2,0,1,3,0,6.5,93,76,17,10,,1,ArmsJe00
45,Matt Bowen,WAS,27,FS,16,16,3,44,0,44,7,2,0,2,5,0,0.0,85,76,9,0,,,BoweMa20
46,Napoleon Harris,OAK,24,MLB,16,16,0,0,0,0,2,3,0,0,0,0,2.0,110,76,34,10,,,HarrNa20
