,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,-9999
1,Paul Posluszny*,JAX,29,RILB,15,15,2,69,1,59,8,1,0,1,0,0,3.0,162,122,40,6,8,,PoluPa99
2,NaVorro Bowman*+,SFO,25,LILB,16,16,2,93,1,89,8,6,0,2,0,0,5.0,145,120,25,9,5,,BowmNa99
3,Vontaze Burfict*,CIN,23,RLB,16,16,1,12,0,12,6,1,0,2,13,1,3.0,171,114,57,9,5,,BurfVo00
4,Karlos Dansby,ARI,32,RILB,16,16,4,48,2,23,19,1,0,1,0,0,6.5,122,114,8,12,12,,DansKa20
5,Barry Church,DAL,25,FS,16,16,1,0,0,0,6,3,0,1,27,1,0.0,135,107,28,3,1,,ChurBa99
6,Lavonte David+,TAM,23,RLB,16,16,5,87,0,32,10,2,0,1,0,0,7.0,145,107,38,21,13,1,DaviLa00
7,DeMeco Ryans,PHI,29,LILB,16,16,2,46,0,36,7,,,,,0,4.0,127,102,25,9,5,,RyanDe20
8,Derrick Johnson*,KAN,31,RILB,15,15,2,44,0,41,6,0,0,2,11,0,4.5,107,95,12,12,10,,JohnDe25
9,Alec Ogletree,STL,22,LLB,16,16,1,98,1,98,10,6,0,0,0,0,1.5,119,95,24,9,1,,OgleAl00
10,Luke Kuechly*+,CAR,22,MLB,16,16,4,33,0,30,7,,,,,0,2.0,156,93,63,10,2,,KuecLu00
11,Stephen Tulloch,DET,28,MLB,16,16,1,0,0,0,3,,,,,0,3.5,135,93,42,7,6,,TullSt20
12,Danny Trevathan,DEN,23,RLB,16,16,3,29,0,29,10,3,1,1,0,0,2.0,129,88,41,7,5,,TrevDa00
13,Eric Weddle*,SDG,28,FS,16,16,2,21,0,21,9,1,0,2,27,0,1.0,115,88,27,5,2,,WeddEr99
