,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,-9999
1,Jerod Mayo*+,NWE,24,LILB,16,16,0,0,0,0,5,1,0,3,-2,0,2.0,174,113,61,5,5,,MayoJe99
2,Stephen Tulloch,TEN,25,MLB,16,16,1,18,0,18,6,0,0,1,0,0,1.0,160,111,49,6,5,,TullSt20
3,Chad Greenway,MIN,27,LLB,16,16,0,0,0,0,3,1,0,1,0,0,1.0,144,109,35,14,5,,GreeCh99
4,Paul Posluszny,BUF,26,RILB,14,14,0,0,0,0,4,,,,,0,2.0,151,103,48,6,4,,PoluPa99
5,Ray Lewis*,BAL,35,RILB,16,16,2,26,1,24,4,2,0,3,1,0,2.0,139,102,37,4,4,,LewiRa00
6,James Anderson,CAR,27,LLB,16,15,1,1,0,1,5,2,0,3,2,0,3.5,130,101,29,13,7,,AndeJa21
7,Patrick Willis*+,SFO,25,RILB,15,15,0,0,0,0,5,2,0,0,0,0,6.0,128,101,27,9,7,,WillPa98
8,James Laurinaitis,STL,24,MLB,16,16,1,4,0,4,5,0,0,1,0,0,3.0,114,98,16,13,7,,LaurJa99
9,Brian Urlacher*,CHI,32,MLB,16,16,1,0,0,0,10,1,0,3,0,0,4.0,126,97,29,13,5,,UrlaBr00
10,Derrick Johnson,KAN,28,RILB,16,16,1,15,1,15,16,3,0,1,0,0,1.0,122,96,26,8,1,,JohnDe25
11,Lawrence Timmons,PIT,24,RILB,16,15,2,5,0,5,9,2,0,2,0,0,3.0,135,96,39,10,8,,TimmLa99
12,Donte Whitner,BUF,25,SS,16,16,1,37,0,37,7,1,0,1,0,0,0.5,140,96,44,1,1,,WhitDo20
13,T.J. Ward,CLE,24,SS,16,16,2,39,0,23,10,1,0,0,0,0,0.0,123,95,28,4,0,,WardT.99
14,Paris Lenon,ARI,33,LILB,16,16,2,12,0,10,6,1,0,0,0,0,2.0,125,94,31,12,3,,LenoPa20
15,D.J. Williams,DEN,28,LILB,16,15,0,0,0,0,9,1,0,1,0,0,5.5,119,94,25,9,9,,WillD.20
16,Curtis Lofton,ATL,24,MLB,16,16,1,2,0,2,3,3,0,0,0,0,2.0,118,93,25,4,3,,LoftCu99
17,Jon Beason*,CAR,25,RLB/MLB,16,16,1,7,0,7,8,2,0,0,0,0,1.0,121,90,31,10,2,,BeasJo99
18,Craig Dahl,STL,25,SS,15,13,2,23,0,23,6,1,0,1,0,0,1.0,98,87,11,6,2,,DahlCr99
19,London Fletcher*,WAS,35,LILB,16,16,1,0,0,0,11,3,0,3,-3,0,2.5,136,87,49,4,4,,FletLo20
20,Chris Hope,TEN,30,SS,16,16,1,32,0,32,5,1,0,1,0,0,1.0,101,87,14,6,1,,HopeCh21
21,Michael Griffin*,TEN,25,FS,16,16,4,50,0,28,12,2,0,2,20,0,0.0,108,86,22,2,4,,GrifMi99
22,Dhani Jones,CIN,32,MLB,16,16,0,0,0,0,2,1,0,0,0,0,1.0,125,86,39,3,1,,JoneDh20
23,Dawan Landry,BAL,28,SS,16,16,0,23,1,23,4,1,0,1,0,0,1.0,111,86,25,2,4,,LandDa21
24,Barrett Ruud,TAM,27,MLB,16,16,1,1,0,1,4,2,0,0,0,0,2.0,118,85,33,4,3,,RuudBa20
25,Alterraun Verner,TEN,22,LCB,16,12,3,41,0,19,11,1,0,2,0,0,0.0,101,85,16,1,0,,VernAl99
26,Yeremiah Bell,MIA,32,SS,16,16,1,21,0,21,5,2,0,1,4,0,1.5,101,83,18,4,3,,BellYe20
27,Cortland Finnegan,TEN,26,RCB,16,16,2,41,1,41,9,1,0,0,0,0,1.0,100,82,18,4,1,,FinnCo20
28,Bernard Pollard,HOU,26,SS,15,15,0,0,0,0,5,3,0,0,0,0,2.5,112,82,30,3,4,,PollBe20
29,Takeo Spikes,SFO,34,LILB,16,16,3,9,0,6,9,0,0,1,8,0,0.0,109,82,27,3,2,,SpikTa00
30,Greg Toler,ARI,25,RCB,14,13,2,66,1,66,9,2,0,1,0,0,1.0,90,82,8,2,1,,ToleGr99
31,Kevin Burnett,SDG,28,RILB,16,16,2,31,1,29,5,1,0,1,0,0,6.0,96,81,15,12,7,,BurnKe20
32,Bradie James,DAL,29,LILB,16,16,1,11,0,11,3,2,0,2,0,0,0.0,118,81,37,4,2,,JameBr20
33,Terrell Thomas,NYG,25,RCB,16,16,5,56,0,28,21,4,0,2,0,0,1.0,101,81,20,3,2,,ThomTe99
34,Tyvon Branch,OAK,24,SS,16,16,1,15,0,15,2,1,0,2,76,1,4.0,103,80,23,11,6,,BranTy99
35,James Farrior,PIT,35,LILB,16,16,0,0,0,0,5,1,0,1,8,0,6.0,109,80,29,11,8,,FarrJa99
36,Eric Weddle,SDG,25,FS,16,16,2,64,1,41,10,,,,,0,0.5,96,80,16,4,1,,WeddEr99
37,Karlos Dansby,MIA,29,RILB,14,13,0,0,0,0,4,2,0,0,0,0,3.0,95,78,17,7,4,,DansKa20
38,Michael Huff,OAK,27,FS,16,15,3,32,0,17,7,2,0,0,0,0,4.0,95,78,17,7,4,,HuffMi20
39,Kerry Rhodes,ARI,28,FS,16,16,4,174,0,66,12,0,1,4,69,2,1.0,90,78,12,3,4,,RhodKe20
40,Eric Berry*,KAN,22,SS,16,16,4,102,1,54,9,1,0,0,0,0,2.0,92,77,15,5,6,,BerrEr99
41,Antoine Bethea,IND,26,FS,16,16,1,31,0,31,5,1,0,0,0,0,0.5,106,77,29,1,5,,BethAn20
42,Quintin Mikell,PHI,30,SS,15,15,3,0,0,0,15,1,0,3,52,1,1.0,88,77,11,5,1,,MikeQu20
43,Terence Newman,DAL,32,LCB,16,16,5,16,0,30,9,0,0,1,1,0,0.0,79,77,2,2,0,,NewmTe20
44,Lance Briggs*,CHI,30,LLB,15,15,2,1,0,1,7,1,0,1,0,0,2.0,89,76,13,8,2,,BrigLa99
45,Brent Grimes*,ATL,27,LCB,16,16,5,84,0,36,23,,,,,0,0.0,87,76,11,2,0,,GrimBr20
46,Roman Harper*,NOR,28,SS,15,15,1,6,0,6,8,6,0,1,0,0,3.0,98,76,22,5,10,,HarpRo21
47,Antrel Rolle*,NYG,28,FS,16,16,1,36,0,36,4,1,0,2,4,0,0.5,87,76,11,7,8,,RollAn20
48,Adrian Wilson*,ARI,31,SS,16,16,2,4,0,4,9,,,,,0,2.0,88,76,12,6,6,,WilsAd99
49,Charles Woodson*,GNB,34,LCB,16,16,2,48,1,48,13,5,0,0,0,0,2.0,92,76,16,7,6,,WoodCh00
50,Desmond Bishop,GNB,26,RILB,15,12,1,32,1,32,8,2,0,0,0,0,3.0,103,75,28,3,5,,BishDe99
51,Mario Haggan,DEN,30,RILB,16,16,0,0,0,0,1,2,0,1,0,0,5.0,87,75,12,10,12,,HaggMa20
52,David Hawthorne,SEA,25,LLB,16,16,1,5,0,5,4,2,0,1,0,0,0.0,106,75,31,3,1,,HawtDa20
53,Daryl Smith,JAX,28,LLB,16,16,1,8,0,8,5,1,0,0,0,0,3.5,97,75,22,9,9,,SmitDa24
54,Richard Marshall,CAR,26,RCB,16,16,3,91,0,66,7,1,0,1,0,0,1.0,88,74,14,3,3,,MarsRi20
55,Bryant McFadden,PIT,29,LCB,16,16,2,-3,0,0,10,2,0,0,0,0,2.0,81,74,7,1,2,,McFaBr20
56,Keith Brooking,DAL,35,RILB,16,16,1,41,0,41,7,,,,,0,1.0,97,73,24,4,4,,BrooKe00
57,Rocky McIntosh,WAS,28,RILB,15,15,0,0,0,0,3,1,0,0,0,0,2.0,110,73,37,2,4,,McInRo20
58,Antoine Winfield*,MIN,33,LCB,16,16,2,41,0,41,5,1,0,1,45,1,2.0,91,73,18,3,1,,WinfAn20
59,Patrick Chung,NWE,23,SS,14,13,3,96,1,51,9,,,,,0,0.0,96,72,24,4,1,,ChunPa99
60,Nate Clements,SFO,31,RCB,16,16,3,46,0,39,10,3,1,0,0,0,1.0,82,72,10,8,1,,ClemNa99
61,A.J. Hawk*,GNB,26,LILB,16,15,3,31,0,21,10,0,0,1,0,0,0.5,111,72,39,4,4,,HawkA.20
62,Geno Hayes,TAM,23,RLB,16,16,1,41,1,41,6,1,0,0,0,0,4.0,82,72,10,16,6,,HayeGe98
63,Charles Godfrey,CAR,25,SS,16,16,5,112,0,38,8,1,0,0,0,0,0.0,85,71,14,3,4,,GodfCh99
64,E.J. Henderson*,MIN,30,MLB,16,16,3,10,0,10,4,1,0,1,0,0,1.0,105,71,34,7,3,,HendE.20
65,Glover Quin,HOU,24,LCB,16,16,3,12,0,10,14,1,0,2,3,0,0.0,85,71,14,3,1,,QuinGl99
66,Charles Tillman,CHI,29,RCB,16,16,5,127,0,56,14,4,0,2,-8,0,0.0,82,71,11,1,1,,TillCh20
67,David Harris,NYJ,26,RILB,16,16,0,0,0,0,3,0,0,1,0,0,3.0,100,70,30,6,7,,HarrDa99
68,James Harrison*+,PIT,32,ROLB,16,16,2,2,0,2,5,6,0,1,0,0,10.5,100,70,30,13,21,,HarrJa23
69,Jonathan Vilma*,NOR,28,MLB,16,16,1,5,0,5,3,3,0,1,0,0,4.0,105,70,35,6,9,,VilmJo99
70,Devin McCourty*,NWE,23,LCB,16,16,7,110,0,50,17,2,0,0,0,0,1.0,82,69,13,3,1,,McCoDe99
71,Daryl Washington,ARI,24,RILB,16,11,1,39,0,39,2,1,1,0,0,0,1.0,78,67,11,7,2,,WashDa99
72,Ronde Barber,TAM,35,RCB,16,16,3,98,0,64,13,,,,,0,1.0,82,66,16,10,5,,BarbRo00
73,LaRon Landry,WAS,26,SS,9,9,1,0,0,0,8,1,0,1,0,0,1.0,85,66,19,6,6,,LandLa99
74,Abram Elam,CLE,29,FS,16,15,2,18,0,18,10,2,0,2,18,1,2.0,79,65,14,3,2,,ElamAb20
75,Bradley Fletcher,STL,24,RCB,16,15,4,41,0,28,11,0,0,1,43,0,0.0,75,65,10,3,0,,FletBr99
76,DeAngelo Hall*,WAS,27,LCB,16,16,6,92,1,92,16,2,0,2,32,1,0.0,95,65,30,4,0,,HallDe99
77,Marcus Trufant,SEA,30,LCB,16,16,1,32,1,32,8,1,0,2,0,0,0.0,80,65,15,1,0,,TrufMa20
78,O.J. Atogwe,STL,29,FS,16,15,3,53,0,34,9,2,0,0,0,0,2.0,73,64,9,5,6,,AtogO.20
79,Kirk Morrison,JAX,28,MLB,16,16,0,0,0,0,1,,,,,,0.0,89,64,25,4,2,,MorrKi20
80,Stephen Nicholas,ATL,27,LLB,16,11,1,0,0,0,2,,,,,0,0.0,78,64,14,2,1,,NichSt99
81,Earl Thomas,SEA,21,FS,16,16,5,68,0,34,7,1,0,0,0,0,0.0,76,64,12,1,2,,ThomEa99
82,Michael Boley,NYG,28,RLB,16,15,0,0,0,0,1,1,0,0,0,0,1.0,85,63,22,3,7,,BoleMi20
