,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,-9999
1,Jonathan Vilma*,NYJ,23,MLB,16,16,1,1,0,1,6,4,1,1,4,0,0.5,173,128,45,7,,,VilmJo99
2,Donnie Edwards,SDG,32,LILB,16,16,2,15,0,14,11,2,0,0,0,0,3.0,154,114,40,4,,,EdwaDo20
3,Zach Thomas*,MIA,32,MLB,14,14,1,0,0,0,3,4,0,1,0,0,2.0,162,107,55,13,,,ThomZa01
4,London Fletcher,BUF,30,MLB,16,16,1,20,0,20,3,1,0,2,0,0,4.0,158,104,54,6,,1,FletLo20
5,Shelton Quarles,TAM,34,MLB,16,16,0,0,0,0,2,4,0,1,0,0,1.0,134,104,30,6,,1,QuarSh20
6,Keith Bulluck,TEN,28,RLB,16,16,2,16,0,16,10,1,0,1,0,0,5.0,138,102,36,12,,,BullKe00
7,Jeremiah Trotter*,PHI,28,MLB,15,15,1,2,0,2,10,2,0,0,0,0,1.0,121,102,19,11,,,TrotJe00
8,Demorrio Williams,ATL,25,RLB,16,16,2,6,0,6,3,1,0,1,0,0,3.0,127,99,28,9,,,WillDe22
9,Brian Urlacher*+,CHI,27,MLB,16,16,0,0,0,0,5,1,0,0,0,0,6.0,122,98,24,17,,,UrlaBr00
10,Mike Peterson,JAX,29,MLB,16,16,3,54,1,26,6,2,0,1,0,0,6.0,132,95,37,10,,,PeteMi20
11,Derrick Brooks*+,TAM,32,RLB,16,16,1,0,0,0,11,1,0,0,0,0,3.0,125,93,32,10,,,BrooDe00
12,Adrian Wilson,ARI,26,SS,16,16,1,36,0,36,9,2,0,2,0,0,8.0,109,93,16,13,,,WilsAd99
13,Nick Barnett,GNB,24,MLB,16,16,1,95,1,95,2,1,0,3,17,0,1.0,139,92,47,9,,,BarnNi20
14,Gary Brackett,IND,25,MLB,16,16,3,50,0,31,6,,,,,0,1.0,127,92,35,0,,,BracGa20
15,Michael Lewis,PHI,25,SS,16,16,2,13,0,13,8,1,0,1,0,0,1.0,106,92,14,4,,,LewiMi99
16,Gibril Wilson,NYG,24,SS,16,16,2,36,0,19,5,2,0,0,0,0,3.0,114,92,22,4,,,WilsGi20
17,Kirk Morrison,OAK,23,LLB,16,15,0,0,0,0,2,0,0,2,0,0,0.0,116,91,25,5,,,MorrKi20
18,Derek Smith,SFO,30,RILB/LILB,16,16,1,13,0,13,7,0,0,1,0,1,0.0,116,90,26,12,,,SmitDe21
19,Keith Brooking*,ATL,30,MLB,16,16,4,50,0,22,10,0,0,1,0,0,3.5,115,89,26,5,,,BrooKe00
20,Andra Davis,CLE,27,LILB,16,16,1,14,0,14,6,,,,,0,2.0,149,89,60,9,,,DaviAn20
21,Antoine Winfield,MIN,28,LCB,16,16,4,5,0,4,8,0,0,2,0,0,0.0,98,89,9,1,,,WinfAn20
22,Kerry Rhodes,NYJ,23,FS,16,16,1,0,0,0,7,1,0,0,0,0,1.0,106,86,20,1,,,RhodKe20
23,Lance Briggs*+,CHI,25,RLB,16,16,2,30,1,20,11,1,0,2,0,0,2.0,109,85,24,8,,,BrigLa99
24,Lofa Tatupu*,SEA,23,MLB,16,16,3,55,1,38,10,0,0,1,0,0,4.0,105,85,20,9,,,TatuLo99
25,Charles Tillman,CHI,24,LCB,15,15,5,172,1,95,16,4,0,1,0,0,1.0,96,85,11,0,,,TillCh20
26,Erik Coleman,NYJ,23,SS,16,16,2,4,0,4,7,,,,,0,0.0,121,84,37,1,,,ColeEr21
