,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,-9999
1,Patrick Willis*+,SFO,22,RILB,16,16,0,0,0,0,5,2,0,1,0,0,4.0,174,136,38,8,7,,WillPa98
2,Jon Beason,CAR,22,MLB/RLB,16,16,1,0,0,0,8,0,0,1,2,0,0.0,140,106,34,4,0,,BeasJo99
3,D.J. Williams,DEN,25,MLB,16,16,1,0,0,0,4,2,0,2,1,0,1.0,141,106,35,13,1,,WillD.20
4,Nick Barnett,GNB,26,MLB,16,16,2,40,0,38,4,0,0,1,0,0,3.5,131,102,29,8,8,,BarnNi20
5,London Fletcher,WAS,32,MLB,16,16,3,36,1,27,10,0,0,1,6,0,0.0,129,101,28,5,1,,FletLo20
6,DeMeco Ryans*,HOU,23,MLB,16,16,1,1,0,1,7,1,0,3,26,1,2.0,127,98,29,3,3,,RyanDe20
7,Kirk Morrison,OAK,25,MLB,16,16,4,94,0,45,10,0,1,1,0,0,1.0,122,97,25,10,1,,MorrKi20
8,Ernie Sims,DET,23,RLB,16,16,1,5,0,5,2,3,0,0,0,0,1.0,134,97,37,8,6,,SimsEr20
9,E.J. Henderson,MIN,27,MLB,16,16,0,0,0,0,4,3,0,2,16,0,4.5,119,94,25,17,11,,HendE.20
10,Michael Boley,ATL,25,LLB,16,16,2,12,0,12,7,4,0,0,0,0,3.0,110,93,17,5,7,,BoleMi20
11,David Thornton,TEN,29,LLB,16,16,2,16,0,11,6,1,0,1,0,0,1.0,122,93,29,10,1,,ThorDa20
12,Brian Urlacher,CHI,29,MLB,16,16,5,101,1,85,12,0,0,2,0,0,5.0,123,93,30,7,7,,UrlaBr00
13,Will Witherspoon,STL,27,MLB,16,16,0,0,0,0,7,2,0,1,0,0,7.0,110,92,18,14,13,,WithWi20
14,Morlon Greenwood,HOU,29,RLB,16,15,1,3,0,3,4,1,0,0,0,0,1.0,119,91,28,3,2,,GreeMo20
15,David Harris,NYJ,23,LILB/RILB,16,9,0,0,0,0,3,2,0,1,0,0,5.0,126,90,36,7,6,,HarrDa99
16,Paris Lenon,DET,30,MLB,16,16,1,61,1,61,3,2,0,0,0,0,2.0,118,88,30,7,5,,LenoPa20
17,John DiGiorgio,BUF,24,MLB,16,14,1,38,0,38,6,0,0,2,0,0,2.0,113,87,26,9,4,,DiGiJo20
18,Donnie Edwards,KAN,34,RLB,16,16,1,18,0,18,3,1,0,1,0,0,2.0,106,87,19,9,4,,EdwaDo20
19,Gary Brackett,IND,27,MLB,16,16,4,128,0,49,7,1,0,1,0,1,0.5,116,86,30,2,1,,BracGa20
20,Angelo Crowell,BUF,26,LLB,16,16,1,5,0,5,4,1,0,1,0,0,2.0,126,86,40,6,3,1,CrowAn20
21,Lance Briggs*,CHI,27,RLB,14,14,0,0,0,0,3,2,0,1,0,0,2.0,103,84,19,15,6,,BrigLa99
22,Keith Brooking,ATL,32,MLB,16,16,0,0,0,0,4,0,0,1,2,0,2.0,110,84,26,4,4,,BrooKe00
23,Derrick Brooks,TAM,34,RLB,16,16,0,0,0,0,1,3,,,,,0.0,109,84,25,2,1,,BrooDe00
24,Napoleon Harris,KAN,28,MLB,16,13,1,4,0,4,4,,,,,0,1.5,116,83,33,6,2,,HarrNa20
25,Derrick Johnson,KAN,25,LLB,16,16,2,18,0,12,6,3,0,0,0,0,4.0,94,83,11,18,6,,JohnDe25
26,Ray Lewis*,BAL,32,LILB,14,14,2,35,1,35,10,2,0,1,0,0,2.0,121,83,38,1,2,,LewiRa00
27,Lofa Tatupu*+,SEA,25,MLB,16,16,4,116,0,49,10,3,0,0,0,0,1.0,109,83,26,10,5,,TatuLo99
28,Cedric Griffin,MIN,25,RCB,16,16,0,0,0,0,10,2,1,2,50,1,0.0,92,82,10,4,0,,GrifCe20
29,Gerald Hayes,ARI,27,MLB,16,16,1,30,1,30,3,,,,,0,4.0,98,82,16,7,4,,HayeGe20
30,Barrett Ruud,TAM,24,MLB,15,15,2,7,0,5,3,4,0,3,3,0,0.0,113,82,31,5,2,,RuudBa20
31,Calvin Pace,ARI,27,LLB,16,16,1,14,0,14,6,1,0,2,4,0,6.5,99,80,19,11,11,,PaceCa20
32,Cortland Finnegan,TEN,23,RCB,16,16,1,14,0,14,13,1,0,0,0,0,1.0,95,79,16,3,1,,FinnCo20
33,Sammy Knight,JAX,32,SS,16,15,4,31,0,15,11,1,0,0,0,0,0.0,93,79,14,4,0,,KnigSa00
34,Richard Marshall,CAR,23,LCB,16,6,3,107,1,73,11,0,0,2,0,0,1.0,88,79,9,7,3,,MarsRi20
35,Karlos Dansby,ARI,26,RLB,14,14,3,55,0,28,8,4,0,0,0,0,3.5,99,78,21,7,4,,DansKa20
36,Chad Greenway,MIN,24,RLB,16,16,2,39,1,37,4,2,1,4,0,0,0.0,105,78,27,4,3,,GreeCh99
37,A.J. Hawk,GNB,23,RLB,16,16,1,10,0,10,4,1,0,1,0,0,1.0,105,78,27,5,3,,HawkA.20
38,Thomas Howard,OAK,24,RLB,16,16,6,172,2,66,11,0,0,1,0,0,1.0,96,78,18,3,1,,HowaTh20
39,Von Hutchins,HOU,26,FS/RCB,16,15,1,8,0,8,6,,,,,0,0.5,95,78,17,0,1,,HutcVo20
40,Marcus Trufant*,SEA,27,LCB,16,16,7,150,1,84,15,,,,,0,0.0,85,78,7,2,0,,TrufMa20
41,Gibril Wilson,NYG,26,FS,13,13,4,12,0,10,7,0,1,1,0,0,0.0,92,78,14,4,0,,WilsGi20
42,Nate Clements,SFO,28,LCB,16,16,4,74,0,62,14,3,0,0,0,0,1.0,92,77,15,8,1,,ClemNa99
43,Scott Fujita,NOR,28,LLB,15,15,0,0,0,0,2,1,0,2,0,0,3.0,95,77,18,6,3,,FujiSc20
44,Chris Harris,CAR,25,SS,15,15,1,30,0,30,5,8,1,3,2,0,0.0,97,77,20,2,0,,HarrCh20
45,Lawyer Milloy,ATL,34,SS,16,16,2,24,0,19,6,,,,,0,0.0,91,77,14,3,4,,MillLa00
46,Leigh Bodden,CLE,26,RCB,16,16,6,75,0,26,15,0,1,3,0,0,0.0,88,76,12,0,0,,BoddLe20
47,James Harrison*,PIT,29,ROLB,16,16,1,20,0,20,2,7,0,3,0,0,8.5,98,76,22,12,17,,HarrJa23
48,Antonio Pierce,NYG,29,MLB,16,16,1,28,0,28,8,1,0,2,0,0,1.0,102,76,26,8,3,,PierAn20
49,Darrelle Revis,NYJ,22,LCB,16,16,3,20,0,19,17,0,0,1,0,0,0.0,88,76,12,0,2,,ReviDa99
50,Roman Harper,NOR,25,SS,16,16,3,58,1,31,8,2,0,0,0,0,4.0,90,75,15,4,5,,HarpRo21
51,Michael Huff,OAK,24,SS,16,16,1,4,0,4,10,1,0,1,0,0,1.0,87,75,12,3,1,,HuffMi20
52,D'Qwell Jackson,CLE,24,RILB,14,13,1,1,0,1,3,0,0,1,0,0,1.0,101,75,26,3,1,,JackDQ20
53,Bernard Pollard,KAN,23,SS,16,15,2,23,0,21,7,1,0,0,0,0,1.0,90,74,16,2,1,1,PollBe20
