,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,-9999
1,Jon Beason*+,CAR,23,MLB,16,16,3,52,0,44,8,0,0,1,12,0,0.0,138,110,28,3,1,,BeasJo99
2,Patrick Willis*,SFO,23,MLB,16,16,1,86,1,86,10,1,0,1,0,0,1.0,141,109,32,8,3,,WillPa98
3,Eric Weddle,SDG,23,FS,16,16,1,3,0,3,5,0,0,1,86,1,1.0,127,105,22,3,0,,WeddEr99
4,Kirk Morrison,OAK,26,MLB,16,16,1,0,0,0,1,2,0,0,0,0,1.0,137,101,36,2,1,,MorrKi20
5,Barrett Ruud,TAM,25,MLB,16,16,2,10,0,10,6,0,0,1,0,0,3.0,136,101,35,6,5,,RuudBa20
6,Yeremiah Bell,MIA,30,SS,16,16,0,0,0,0,10,3,0,1,0,0,1.0,120,100,20,3,1,,BellYe20
7,Jerod Mayo,NWE,22,LILB,16,16,0,0,0,0,4,1,0,1,0,0,0.0,128,100,28,5,1,,MayoJe99
8,Jonathan Vilma,NOR,26,MLB,16,16,1,8,0,8,6,2,0,3,6,0,1.0,132,98,34,4,5,,VilmJo99
9,Gibril Wilson,OAK,27,SS,16,15,2,5,0,5,3,1,0,3,9,0,1.5,134,98,36,3,2,1,WilsGi20
10,London Fletcher,WAS,33,MLB,16,16,0,0,0,0,5,1,0,1,12,0,0.5,133,96,37,7,3,,FletLo20
11,Karlos Dansby,ARI,27,RLB,16,16,2,47,0,34,5,2,1,3,0,0,4.0,119,95,24,10,3,,DansKa20
12,D'Qwell Jackson,CLE,25,RILB,16,16,3,29,0,16,6,,,,,0,2.0,154,95,59,3,4,,JackDQ20
13,Eric Barton,NYJ,31,LILB,16,16,0,0,0,0,4,1,0,1,1,0,1.5,119,93,26,2,4,,BartEr20
14,Thomas Davis,CAR,25,RLB,16,16,0,0,0,0,6,2,0,1,0,0,3.5,114,93,21,12,6,,DaviTh20
15,Channing Crowder,MIA,25,LILB,15,13,0,0,0,0,6,1,0,1,11,0,0.0,113,92,21,6,4,,CrowCh20
16,Lance Briggs*,CHI,28,RLB,16,16,3,12,0,9,11,1,0,2,21,1,0.5,110,90,20,8,2,,BrigLa99
17,James Farrior*,PIT,33,LILB,16,16,0,0,0,0,5,1,0,1,0,0,3.5,133,89,44,9,6,,FarrJa99
18,Pisa Tinoisamoa,STL,27,RLB,16,16,0,0,0,0,2,2,0,0,0,0,3.0,104,88,16,10,5,,TinoPi20
19,Chad Greenway,MIN,25,LLB,16,15,0,0,0,0,5,3,0,0,0,0,5.5,116,87,29,11,8,,GreeCh99
20,Paul Posluszny,BUF,24,MLB,16,16,1,9,0,9,6,1,0,1,0,0,0.0,110,87,23,3,3,,PoluPa99
21,Stewart Bradley,PHI,25,MLB,16,16,1,17,0,17,6,1,0,1,0,0,1.0,108,86,22,10,4,,BradSt99
22,DeMeco Ryans,HOU,24,MLB,16,16,0,0,0,0,4,2,0,3,47,0,1.0,112,86,26,5,4,,RyanDe20
23,Ray Lewis*+,BAL,33,LILB,16,16,3,43,0,29,9,2,0,2,0,0,3.5,118,85,33,9,12,,LewiRa00
24,Chris Gamble,CAR,25,LCB,16,16,3,23,0,19,19,1,0,2,41,1,0.0,93,83,10,4,0,,GambCh20
25,Roman Harper,NOR,26,SS,15,15,0,0,0,0,9,1,,,,,0.0,89,82,7,4,1,,HarpRo21
26,Antoine Winfield*,MIN,31,LCB,16,16,2,5,0,4,11,4,0,2,28,1,2.0,96,82,14,12,1,,WinfAn20
27,Bradie James,DAL,27,LILB,16,16,0,0,0,0,4,3,0,2,0,0,8.0,117,81,36,15,12,,JameBr20
28,Paris Lenon,DET,31,MLB,16,16,0,0,0,0,3,2,0,2,0,0,1.5,122,81,41,7,3,,LenoPa20
29,Charles Tillman,CHI,27,LCB,15,15,3,52,1,26,17,4,0,0,0,0,0.0,93,81,12,1,1,,TillCh20
30,Erik Coleman,ATL,26,FS,16,16,3,48,0,32,6,2,0,0,0,0,0.0,95,80,15,1,0,,ColeEr21
31,Cedric Griffin,MIN,26,RCB,16,15,1,-2,0,-2,14,4,0,0,0,0,0.0,91,80,11,2,0,,GrifCe20
32,Thomas Howard,OAK,25,RLB,16,16,1,-3,0,-3,5,2,0,0,0,0,1.0,97,80,17,8,2,,HowaTh20
33,Freddy Keiaho,IND,26,RLB,14,14,,,0,,,0,1,3,-2,0,0.0,105,79,26,5,2,,KeiaFr20
34,Bernard Pollard,KAN,24,SS,16,16,1,0,0,0,1,2,0,3,0,0,0.0,98,79,19,1,1,,PollBe20
35,Antrel Rolle,ARI,26,FS,16,16,1,40,1,40,5,,,,,0,0.0,90,79,11,1,1,,RollAn20
36,Brian Urlacher,CHI,30,MLB,16,16,2,11,0,11,9,0,0,1,0,0,0.0,93,79,14,10,3,,UrlaBr00
37,O.J. Atogwe,STL,27,FS,16,16,5,91,0,43,5,6,0,3,75,1,0.0,85,77,8,1,0,,AtogO.20
38,Corey Graham,CHI,23,RCB,16,9,1,6,0,6,8,1,0,1,0,0,0.0,90,76,14,3,0,,GrahCo99
39,Michael Lewis,SFO,28,SS,16,16,0,0,0,0,7,1,0,1,4,0,2.0,96,76,20,9,3,,LewiMi99
40,Lawyer Milloy,ATL,35,SS,15,15,1,38,0,38,5,1,0,0,0,0,0.0,92,76,16,1,2,,MillLa00
41,Keith Bulluck,TEN,31,RLB,16,16,0,0,0,0,6,1,0,1,0,0,0.5,98,75,23,6,1,,BullKe00
42,Quentin Jammer,SDG,29,LCB,16,16,2,2,0,2,19,3,0,2,23,0,0.0,88,75,13,1,0,,JammQu20
43,Dhani Jones,CIN,30,MLB,16,16,1,13,0,13,8,1,0,1,0,0,0.0,116,75,41,6,2,,JoneDh20
44,Brian Williams,JAX,29,RCB,16,16,2,31,0,27,10,,,,,0,0.0,83,75,8,5,0,,WillBr22
45,Antoine Bethea,IND,24,FS,16,16,2,0,0,0,4,0,0,1,0,0,0.0,101,74,27,2,0,,BethAn20
46,Kevin Payne,CHI,25,SS,16,16,4,147,0,50,7,,,,,0,1.0,89,74,15,3,1,,PaynKe99
47,Clint Session,IND,24,LLB,16,15,,,0,,,2,,,,,0.0,94,74,20,11,0,,SessCl99
48,Jamie Winborn,DEN,29,LLB,16,11,0,0,0,0,11,,,,,0,0.5,99,74,25,5,2,,WinbJa20
49,Stephen Cooper,SDG,29,LILB,12,12,4,11,0,10,6,,,,,0,1.5,99,72,27,3,2,,CoopSt20
50,Antonio Pierce,NYG,30,MLB,15,15,0,0,0,0,2,2,0,0,0,0,1.5,95,72,23,5,1,,PierAn20
51,Gary Brackett,IND,28,MLB,12,12,0,0,0,0,1,1,0,1,68,1,0.0,100,71,29,1,1,,BracGa20
52,Keith Brooking,ATL,33,RLB,16,16,0,0,0,0,4,,,,,,0.0,102,71,31,2,3,,BrooKe00
53,Ernie Sims,DET,24,RLB,16,16,0,0,0,0,1,,,,,0,1.0,113,71,42,4,2,,SimsEr20
54,Brandon Carr,KAN,22,LCB,16,16,2,67,0,35,6,0,0,2,17,0,0.0,73,70,3,3,0,,CarrBr99
55,Mike Peterson,JAX,32,MLB,15,10,,,0,,,,,,,0,1.0,84,70,14,1,3,,PeteMi20
56,Derrick Johnson,KAN,26,RLB,14,14,1,7,0,7,6,4,0,0,0,0,1.5,86,69,17,6,2,,JohnDe25
57,Lofa Tatupu,SEA,26,MLB,15,15,1,16,0,16,4,1,0,0,0,0,0.0,94,69,25,3,4,,TatuLo99
58,DeMarcus Ware*+,DAL,26,ROLB,16,16,0,0,0,0,2,6,0,1,0,0,20.0,84,69,15,27,30,,WareDe99
59,Josh Wilson,SEA,23,RCB,16,12,4,135,1,75,9,3,3,2,0,0,1.0,76,69,7,3,1,,WilsJo99
60,Nick Harper,TEN,34,LCB,13,13,2,11,0,11,14,1,0,0,0,0,0.0,71,68,3,1,0,,HarpNi20
61,Richard Marshall,CAR,24,DB,16,0,1,11,0,11,4,,,,,0,2.0,75,68,7,4,3,,MarsRi20
62,Quintin Mikell,PHI,28,SS,16,16,3,53,0,41,9,2,0,0,0,0,2.0,93,68,25,2,3,,MikeQu20
63,D.J. Williams,DEN,26,RLB,11,11,0,0,0,0,2,0,0,1,0,0,2.5,93,68,25,9,4,,WillD.20
64,Ronde Barber*,TAM,33,RCB,16,16,4,69,1,65,12,0,0,1,2,0,2.0,75,67,8,5,6,,BarbRo00
65,James Harrison*+,PIT,30,ROLB,15,15,1,33,0,33,3,7,1,0,-18,0,16.0,101,67,34,16,19,1,HarrJa23
66,A.J. Hawk,GNB,24,RLB/MLB,16,16,0,0,0,0,1,,,,,0,3.0,86,67,19,4,4,,HawkA.20
67,Gerald Hayes,ARI,28,MLB,16,14,0,0,0,0,4,4,0,2,0,0,0.5,88,67,21,6,3,,HayeGe20
68,Curtis Lofton,ATL,22,MLB,16,15,0,0,0,0,2,1,0,0,0,0,1.0,94,67,27,4,2,,LoftCu99
69,Kalvin Pearson,DET,30,FS,16,10,0,0,0,0,4,4,0,2,0,0,1.0,84,66,18,2,0,,PearKa20
70,Julian Peterson*,SEA,30,RLB,16,15,0,0,0,0,6,4,0,1,0,0,5.0,86,65,21,6,8,,PeteJu00
71,Zach Thomas,DAL,35,RILB,16,14,0,0,0,0,3,0,0,1,0,0,1.0,94,65,29,4,1,,ThomZa01
72,Daniel Bullocks,DET,25,SS,16,15,0,0,0,0,1,2,0,1,44,1,0.0,94,64,30,2,0,,BullDa20
73,Brian Dawkins*,PHI,35,FS,16,16,1,25,0,25,7,6,0,1,0,0,3.0,75,64,11,11,3,,DawkBr00
74,Brandon McDonald,CLE,23,RCB,16,15,5,146,1,98,16,1,0,0,0,0,0.0,75,64,11,5,1,,McDoBr99
75,Michael Boley,ATL,26,LLB,16,12,1,16,0,16,9,0,0,1,0,0,0.0,73,63,10,2,1,,BoleMi20
76,Justin Durant,JAX,23,RLB,14,12,0,0,0,0,5,,,,,,0.0,71,63,8,8,1,,DuraJu99
77,Scott Fujita,NOR,29,LLB,14,13,2,19,0,17,3,1,0,0,0,0,0.0,81,63,18,5,0,,FujiSc20
78,DeAngelo Hall,2TM,25,DB/LCB,15,12,5,37,0,21,21,0,0,2,13,0,0.5,74,63,11,1,1,,HallDe99
79,LeRoy Hill,SEA,26,LLB,12,12,0,0,0,0,3,,,,,0,1.0,84,63,21,8,2,,HillLe20
80,Renaldo Hill,MIA,30,FS,16,15,3,34,0,17,4,,,,,0,0.0,78,63,15,2,0,,HillRe20
81,Chris Hope*,TEN,28,SS,16,16,4,53,0,39,8,,,,,0,1.0,78,63,15,3,1,,HopeCh21
82,Rashad Jeanty,CIN,25,LLB,16,15,0,0,0,0,2,2,0,1,0,0,0.0,99,63,36,5,2,,JeanRa20
83,Jarrad Page,KAN,24,FS,16,16,4,2,0,2,12,2,0,2,8,0,0.0,85,63,22,3,0,,PageJa20
84,Stephen Tulloch,TEN,23,MLB,16,12,0,0,0,0,2,0,0,2,4,0,1.0,83,63,20,4,1,,TullSt20
85,Andra Davis,CLE,30,LILB,16,16,1,4,0,4,3,,,,,0,0.0,90,62,28,6,1,,DaviAn20
86,Deon Grant,SEA,29,SS,16,16,2,31,0,31,8,,,,,0,0.0,79,62,17,3,1,,GranDe21
87,Marquand Manuel,DEN,29,SS,16,14,0,0,0,0,4,,,,,,0.0,84,62,22,1,1,,ManuMa20
88,Calvin Pace,NYJ,28,ROLB,16,16,0,0,0,0,3,5,0,4,50,1,7.0,80,62,18,11,9,,PaceCa20
89,Bart Scott,BAL,28,RILB,16,16,0,0,0,0,5,2,0,0,0,0,1.5,83,62,21,9,9,,ScotBa20
90,Leigh Bodden,DET,27,RCB,16,15,1,2,0,2,12,3,0,2,8,0,0.0,73,61,12,0,0,,BoddLe20
91,Jason Craft,2TM,32,DB,15,2,1,16,0,16,6,2,0,3,0,0,3.0,70,61,9,7,5,,CrafJa20
