,,,,,,Games,Games,Tackles,Tackles,,Def Interceptions,Def Interceptions,Def Interceptions,-additional
Rk,Pos,Player,Tm,Votes,Share,G,GS,Solo,Ast,Sk,Int,Yds,TD,-9999
1,RDE,Aaron Donald,Los Angeles Rams,23.0,46%,14,14,32,9,11.0,0,0,0,DonaAa00
2,RDE,Calais Campbell,Jacksonville Jaguars,17.0,34%,16,16,47,20,14.5,0,0,0,CampCa99
3,LOLB,Chandler Jones,Arizona Cardinals,5.0,10%,16,16,52,7,17.0,0,0,0,JoneCh03
4,LDE,Cameron Jordan,New Orleans Saints,1.0,2%,16,16,48,14,13.0,1,0,1,JordCa00
5,LDE,DeMarcus Lawrence,Dallas Cowboys,1.0,2%,16,16,35,23,14.5,0,0,0,LawrDe00
6,RCB,Xavier Rhodes,Minnesota Vikings,1.0,2%,16,16,44,12,0.0,2,23,0,RhodXa00
7,FS,Harrison Smith,Minnesota Vikings,1.0,2%,16,16,61,17,1.5,5,42,0,SmitHa00
8,MLB,Bobby Wagner,Seattle Seahawks,1.0,2%,16,16,97,36,1.5,2,7,0,WagnBo00
